<new sheet>
sheet_name: 4.06
,4.06 Assets and Liabilities of the Central Bank - Monthly,,,,,,,,,,,,,,

,ASSETS,,,,,,,,,,,,,,
,,,,,,,,,,,,,Rs. Million,,
,End of period,A S S E T S,,,,,,,,,,,,,

,,International Reserves,,,,,,Domestic Assets,,,,Total Assets and Liabilities,International Reserve as a Percentage of Currency and Deposit Liabilities,,
,,Cash and Bank Balances Abroad Including Treasury Bills,Foreign Government and non Governmental securities            (a) (b),Special Drawing Rights,IMF Related Assets                    (c),Receivables              (d),Total,Loans and Advances to,,Government and Government Guaranteed Securities                    (f) ,Other Assets and Accounts ,,,,
,,,,,,,,Government ,Others                         (e),,,,percentage of Curresncy and Deposit Liabilities,,
,Nov,549234.3643387079,602840.9817522692,362.49548393000003,126135.75940807001,15852.149260370152,1294425.7502433471,203612.0714,331.280548,7007.429711,61701.828290819656,1567078.3601931669,93.66597214061653,,
,Dec,601550.9122872712,596217.6872816113,677.13168676,126161.02071724001,3806.57289610125,1328413.3248689838,199800.8714,223.70168687,25576.202246,50819.42529645981,1604833.5254983138,93.39192479252095,,
,2018 Jan,508238.28573042044,716924.5613395177,696.01623579,129679.52978621001,5491.656521610198,1361030.0496135484,224737.1714,223.70168687,8049.02278784,57727.32578610978,1651767.2712743683,95.336616161159,,
,Feb,489439.4185832478,737518.3713326707,82.08628356999999,129778.26155343,2528.5230444717145,1359346.66079739,224752.8714,223.701687,1065.468542,54591.92671580007,1639980.62914219,95.155656314735,,
,Mar,416636.6906605363,747848.5670335856,83.11438612,131403.68977488,10380.14835305996,1306352.210208182,224736.4714,223.153105,37474.359687,39919.56341923983,1608705.7578194218,90.39112764933287,,
,Apr,842425.8155426881,749628.4713482618,829.7455010399999,131388.19904496,7191.944205454212,1731464.1756424045,224739.3714,223.153105,67398.865535,39335.245937089436,2063160.811619494,91.2900036658454,,
,May,628667.3576968523,758197.0656921209,334.80518957,129796.57248043,2887.2662227409196,1519883.0672817142,224745.4714,223.092228,67053.401114,39091.78385044006,1850996.8158741542,90.31712829248268,,
,Jun,675321.4996396928,752179.0439007645,980.9194256000001,129244.68074139999,18616.34416598,1576342.4878734373,218320.8714,141.340687,89885.903721,38520.80379767972,1923211.4074791172,89.87454248420383,,
,Jul,582699.4781325209,743059.720066749,988.71936512,130272.39073088001,3717.416704032177,1460737.7249993018,224744.7714,141.340687,32724.261671,48449.62374425051,1766797.7225015522,93.32386075579115,,
,Aug,628680.8453850583,739940.133461882,77.11475884999999,131385.21771415,7700.736670961613,1507784.0479909019,224724.3714,141.279811,21870.780189,52138.15546788997,1806658.634858792,93.57280237274597,,
,Sep,433675.93245325366,758431.3311961648,80.46923702,137108.19834698,14582.268598511899,1343878.1998319302,224743.7714,140.792105,144471.871766,38925.207996080164,1752159.8430990104,87.06114796867959,,
,Oct,600776.3914685858,766843.3480879869,1287.18093324,139941.75654376,5657.5027874014095,1514506.1798209744,224750.0714,140.792105,193467.040501,39050.39679614967,1971914.4806231242,87.6239781318333,,
,Nov,542990.5757293771,726349.6251371633,212.85753695,144306.55680204998,2936.2826511346484,1416795.8978566749,224767.0714,140.731228,213848.927831,38844.47360326955,1894397.1019189444,87.38703715489147,,
,Dec,521809.9917850518,732343.6332727259,217.12645135,147200.65910215,1019.5748033799027,1402590.9854146575,198632.5714,95.96274982,274485.56560011,41633.64906051988,1917438.7342251074,86.92871908007706,,
,2019 Jan,370877.6078462927,714639.9180091996,1274.0312128399999,146300.14507803,2734.0812718382704,1235825.7834182004,237797.9714,95.96274982,279025.550092,40806.078859733185,1793551.3465197536,81.92710728196936,,
,Feb,346656.60264886374,682533.3911761191,65.83903701,145948.95970498,44201.096921365744,1219405.8894883385,236817.6714,95.96275,275123.349224,42271.37185803172,1773714.24472037,81.7406059490357,,
,Mar,655794.5655046769,666053.3328428015,64.04663343,141975.64149421002,16907.42400030549,1480795.0104754241,237804.3714,95.441613,267259.097758,45990.617170039564,2031944.5384164636,84.50811735044292,,
,Apr,606022.2705848832,645292.9033855703,1277.9406615599999,141184.75525014,12321.576237678039,1406099.4461198316,237810.3714,95.414168,198623.15931,46453.43993572006,1889081.8309335518,90.16380217528369,,
,May,523560.7127832587,647424.8882806264,1361.41195513,141200.57756638998,16724.630897483545,1330272.2214828886,237891.1714,95.353291,79638.150773,108970.84712621034,1756867.744073099,94.95639769567794,,
,Jun,909699.1740315742,658841.750191586,1287.5949205499999,142664.21401486,8074.7840974197115,1720567.51725599,236564.4714,56.651909,106603.184149,76733.60614404175,2140525.430858032,96.25712906510125,,
,Jul,766988.4523427403,712684.5951251534,2556.48171042,140906.02701177998,12218.280454272526,1635353.8366443664,237622.3714,56.651909,108478.353245,48257.384979979135,2029768.5981783457,96.1794911852892,,
,Aug,785599.6807060211,729939.8539276809,1312.3220733,143745.89088422002,29982.69063843247,1690580.4382296547,237807.8714,56.591033,113208.45397,46638.16810708959,2088291.5227397443,96.27220684626245,,
,Sep,671420.1356832421,713721.7726900347,1316.1986066099998,144162.11067059,11385.952465113278,1542006.17011559,237810.1714,56.13594,145623.880416,44307.76070454437,1969804.1185761343,96.05149205449159,,
,Oct,679509.0647736753,722856.3712995056,1329.33738139,145601.18950232002,26120.26648797469,1575416.2294448654,237815.8714,56.13594,112377.769542,44806.984377866145,1970472.9907047316,97.56047005347362,,
,Nov,595384.9576552905,764004.9212914716,1308.8457778499999,144643.62783498998,12594.27874303926,1517936.6313026412,237811.7714,56.075063,94931.540762,61042.45627637976,1911778.474804021,97.42601140774329,,
,Dec,594094.6436537952,768469.6894616727,1319.57606673,145830.88659297995,61.96641495,1509776.762190128,236608.9714,39.288835,126866.762077,46125.65461765672,1919417.4391197846,97.6021113749458,,
,2020 Jan,576087.122596718,790935.994094262,1315.61018543,145392.60340721,13833.30059410317,1527564.630877723,237811.3714,39.288835,97759.729583,44773.46024416736,1907948.4809398905,99.34166643465574,,
,Feb,630401.7889868176,825752.8406966038,84.06791087,145181.69745904,15853.003010735041,1617273.3980640667,237809.1714,39.227958,70866.901713,71227.14814520604,1997215.8472802725,100.45542463665322,,
,Mar,485405.4096099254,908015.3102771826,86.68116875,149694.68251426,658.8338479060141,1543860.917418024,237791.8714,38.767698,236238.259415,44235.082788950065,2062164.898719974,95.58331078663363,,
,Apr,442551.538719381,936828.2563570386,1404.89708583,153228.66539179004,38708.689657552735,1572722.0472115923,237809.5714,38.767698,328504.16192,45037.634124062024,2184112.1823536544,95.5624969756745,,
,May,402165.14447408204,855874.9245901874,488.30018351,148621.86562066994,18705.903446867724,1425856.138315317,237810.1714,110.24025264,368355.932205,46536.767380545614,2078669.2495535028,88.82633444224874,,
,Jun,410174.24591738405,832007.143269075,489.45860917,148974.45075736,13367.358433140424,1405012.6569861297,235980.5714,2901.8977136,321302.567322,46920.75446150568,2012118.4478832353,96.89515095735688,,
,Jul,515993.50231316563,833311.9526779568,1183.43736471,152567.723908,14165.862751671044,1517222.4790155035,237841.1714,28148.44993989,312886.395634,47332.0533334082,2143430.5493228016,94.1406917874353,,
,Aug,654686.1998401168,832672.0552807432,497.20934532999996,153595.36025407,10391.533193233014,1651842.357913493,237786.6714,52899.96702079,297592.360195,47407.05612382013,2287528.4126531035,96.59086057176411,,
,Sep,909202.9803321976,829210.4578842177,491.55352913,151799.92524226004,4643.191946917762,1895348.108934723,237807.7714,77272.20852631,340543.084427,48333.244508217555,2599304.417796251,93.41711849940482,,
,Oct,461041.18296061456,817516.5068125705,1166.29718675,151303.93115555999,3056.50333801,1434084.4214535053,237810.6714,99448.81894769,498084.886709,49093.55866241502,2318522.3571726102,80.15589905265425,,
,Nov,437449.38501934987,806686.8311059372,477.24258511,153812.07612498,9472.9446717,1407898.4795070773,237808.8714,108675.18612756999,562614.38689,49836.63328474015,2366833.5572093874,77.99999638967171,,
,Dec,479514.27447681234,743999.7864895278,491.87428948,158465.39690245996,1716.2453169903392,1384187.5774752705,153061.9004,111232.46450872999,717259.93868,55855.286130932625,2421597.167194933,75.91550802596113,,
,2021 Jan,481983.64338527346,664777.1061077192,1289.5791729100001,162804.34894587004,3.27104008,1310857.9486518528,198171.2004,109629.1269178,727532.303939,58055.568685825914,2404246.1485944786,70.08929590730587,,
,Feb,455044.7899571759,504135.64271872054,539.3468297200001,163143.39806736,742.7341752644437,1123605.9117482407,198182.3004,110734.41227740998,798840.115532,55877.74572509434,2287240.485682745,65.76732976907667,,
,Mar,388605.2268230152,402399.4889114488,542.0564042999999,163962.99908536,7341.406189269999,962851.177413394,198190.1004,109461.55675732,895049.030248,51562.94289544644,2217114.8077141605,58.30093840514802,,
,Apr,685705.0515040654,143679.72720348727,1293.74135001,166557.83060375997,18084.810657429996,1015321.1613187527,198198.9004,110177.21957589,873208.6212,53405.616066419054,2250311.518561062,59.56869593508473,,
,May,753383.48806302,127623.1567600855,584.2470846599999,167532.81592956997,4328.2292165544995,1053451.93705389,198189.9004,110489.25799965998,857266.404321,57395.23932940746,2276792.7391039575,60.49921983678068,,
,Jun,637656.5684057716,126208.71281754968,1737.8379774100001,166770.48161955999,13.74319846,932387.3440187513,196267.6004,102989.53779614998,983416.821832,66155.41463268595,2281216.718679587,55.11292219803708,,
,Jul,507580.089895018,76087.5869202984,2444.01444052,166016.95030341,408.38559181450006,752537.027151061,198182.0004,98814.40811965999,1220848.994488,53961.62992024282,2324344.0600789636,41.635547216374626,,
,Aug,590405.30792784,79020.61567427998,27159.93336185,173853.94872507002,1809.82317075,872249.62885979,198189.4004,94749.06158902998,1337213.262287,53747.33452508226,2556148.6876609023,42.62327417445807,,
,Sep,375499.94785767543,74168.49953907677,25585.36905604,163723.0709195,355.7310874373715,639332.6184597296,198189.7004,92089.96077503999,1633800.744478,54398.46520293085,2617811.4893157003,30.514633622227183,,
,Oct,306959.9239158738,74957.20594800028,25945.7685813,166084.34182114998,2678.356430896464,576625.5966972205,198167.7004,88747.40481028,1683370.821171,156511.37254182296,2703422.8956203233,27.236822995423903,,
,Nov,277373.41571517003,8917.19653272904,24985.589389880002,164517.14918899,19.87340661,475813.22423337906,198202.1004,87872.64583014,1796803.996741,138367.17631874327,2697059.1435232623,22.71335056713297,,
,Dec,547895.34930523,8874.097335624761,24800.56242432,163244.72312179,19.63499068,744834.3671776447,150128.8004,90358.29204158,1945352.659167,115604.03884766623,3046278.1576338913,30.53421454676582,,
,2022 Jan,400426.64814335,8703.394045,24719.589499470003,162711.73509183002,0.8981867800000001,596562.2649664301,224799.8004,85611.92539399,2163336.776637,138753.56110671116,3209064.3285041316,22.96605810004124,,
,Feb,379236.94384394,8624.416854,24034.730055279997,162963.62426799003,0.40869109,574860.1237123,224730.8004,77919.32652399999,2218358.655023,71425.97613080079,3167294.881790101,21.823802036166267,,
,Mar,499004.3127409,9395.866708,35423.59165554,240183.97116042,5513.474049979999,789521.21631484,224787.3004,73065.73383825,2458920.642548,83579.67143174121,3629874.564532831,23.35295898606219,,
,Apr,545791.69328824,10570.934738,39378.51234351999,267037.50279466,5056.29880074,867834.9419651601,223925.2004,69927.48702862998,2666555.451856,96346.0612489609,3924589.142498751,22.760198879799105,,
,May,635390.01858391,11171.48984,6032.43074796,282940.93571206,10127.10501549,945661.9798994199,224612.4004,67847.55296655,2681160.937947,92757.36395513173,4012040.2351681013,24.19793517277478,,
,Jun,626264.01497474,11077.571632,5919.95412734,277665.41048777,10104.904478259998,931031.85570011,223106.2004,57391.76781610001,2871915.576645,98281.83350994112,4181727.234071151,23.291820356830804,,
,Jul,613108.88615602,11249.225566,5916.42024833,277499.65988301,4684.6142438100005,912458.80609717,224817.6004,51887.59468064,3040051.739353,86346.23640982155,4315561.976940632,22.607097868234582,,
,Aug,578360.8592586099,11004.400731,3045.26027372,273096.72505689,89997.17073703,955504.41605725,224800.0004,43317.88772404999,3086881.302404,58525.207839461975,4369028.814424762,24.14568437014869,,
,Sep,598702.85366621,10784.298502,3009.56014863,269809.63632938,82097.87925604,964404.2279022599,224799.9004,35962.48147808,3078331.73107,62608.917776689865,4366107.25862703,24.510757071685994,,
,Oct,570902.04568477,10698.113047,24000.81262151,270827.28276725,68571.54732176999,944999.8014423001,224780.9004,34349.830489800006,3127394.966431,57479.51086512953,4389005.00962823,24.092457206473224,,
,Nov,619481.6768281001,10880.58323,14871.87131403,277399.80014069995,37066.26642527,959700.1979381001,224020.6004,32899.86964168,3146021.622219,57396.60221833084,4420038.892417111,24.494381859545538,,
