<new sheet>
sheet_name: DBUs
,4.08 Assets and Liabilities of the Commercial Banks (a) - Monthly,,,,,,,,,,,,,,,,,,,

,Assets and Liabilities of Domestic Banking Units (DBUs),,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Rs. Million
,End of Period,A S S E T S,,,,,,,,,,,,,,,,,,
,,Cash on Hand,Due from Central Bank,Due from Domestic Banks,Cash Items in Process of Collection,Foreign Currency on Hand and Balances Due from Banks Abroad,Investments,,,,Loans and Advances,,,,,,Fixed and Other Assets  (b)(d),Total Assets or Liabilities ,Percentage of Liquid Assets to Demand Deposits (e),Percentage of Loans & Advances to Total Deposits
,,,,,,,Govt. of Sri Lanka Obligations,,,Other Investments (c),Bills Purchased and Discounted,,,Overdrafts,Loans,Total Loans and Advances,,,,
,,,,,,,Treasury Bills ,Treasury Bonds (b), Other Govt. Securities ,,Local,Imports,Exports,,,,,,,
,,-1,-2,-3,-4,-5,-6,-7,-8,-9,-10,-11,-12,-14,-15,-16,-17,-18,-19,-20
,1997-10-01 00:00:00,6443.718908,29982.995268,4970.669526,9277.036337,35776.815808,27364.240488,1509.181985,840.389442,12330.918326,76.694458,11236.794149,7617.256771,65996.207487,132305.114573,217232.067438,88735.616944,434463.65047,243.65836625483243,75.03435938513257
,1997-11-01 00:00:00,6166.58861,29047.533088,4253.33687,6103.008766,36567.006408,28531.343211,1781.009004,840.389442,12366.523467,76.022281,12566.711368,7666.594445,68533.194336,134059.911453,222902.433883,85362.152463,433921.32521200005,249.15655206865105,76.18483522484298
,1997-12-01 00:00:00,7454.837335,29045.173572,6519.164416,7538.419942,41631.014755,20489.950161,1775.641415,840.389442,12300.52569,76.818641,13458.551204,6964.934272,71976.859711,137711.026724,230188.190552,85007.255607,442790.562887,229.39480473103396,76.15949721238887
,1998-01-01 00:00:00,6159.689774979999,23549.96651223,9079.829674,7582.521071,43830.82112656,19824.640272369998,2542.618391,840.389442,12004.385251,87.463224,14250.102064,7389.63939092,70641.76319394,138671.04765713,231040.01552999,94257.249877,450712.12692213,228.35138668573154,76.3342998605009
,1998-02-01 00:00:00,6400.110735,30123.591219,9724.471968,6367.68521,45421.469021,16858.580635,2279.98728,340.389442,12448.32274,75.355648,13592.017056,7591.811691,71838.407963,139312.052126,232409.644484,88984.2174,451358.47013399994,248.04127031016392,76.92669532150325
,1998-03-01 00:00:00,8419.359965,28549.790239,7553.809993,5956.461883,47570.212788,17060.726127,2498.887541,340.389442,12643.573134,73.637749,14409.838869,7777.570694,72630.730772,139993.730461,234885.508545,96937.307763,462416.02742,233.92716904862291,76.05780016631508
,1998-04-01 00:00:00,8221.259344,28016.6936,9972.788506,4405.827141,43913.3352,18493.872075,2303.946315,340.389442,12503.762226,13.537278,16291.60986,7009.37658,73304.928676,142769.939694,239389.392088,95952.473061,463513.738998,236.61327963433175,76.81268830748228
,1998-05-01 00:00:00,7425.972864,31150.419609,10829.225166,6716.387509,45571.141683,17730.704751,2456.961501,340.389442,13005.842777,14.491702,16619.968293,6920.273424,73039.560785,144232.848416,240827.14262,92034.779772,468088.96769399993,228.9144886851535,76.03496610918968
,1998-06-01 00:00:00,8029.357328,28049.592222,10067.91966,6869.533787,42284.4261,17466.943272,2487.754246,340.389442,13139.895199,16.577303,18004.152436,7720.333992,73922.725859,144708.478714,244372.268304,89847.777521,462955.85708100005,230.72345896211132,77.39105577043574
,1998-07-01 00:00:00,7912.422252,30642.382976,9257.077117,8549.626684,44302.292012,13415.44507,3545.880822,340.389442,13100.574717,12.968458,18770.628009,8005.561142,76537.379276,142673.730382,246000.26726700002,99360.050598,476426.408957,231.87557431459686,77.8803586425696
,1998-08-01 00:00:00,8253.673648,31982.224927,8928.841169,7267.970313,47335.614467,12083.422481,5102.792847,340.389442,12905.925034,14.382366,20287.308399,7926.459184,75107.338408,145650.238769,248985.72712599998,94174.101577,477360.68303099996,238.7947887935032,78.71411683557882
,1998-09-01 00:00:00,8315.430773,30395.5317,11565.993357,7438.187003,46456.447648,11715.737284,4796.595303,340.389442,12818.308713,14.0118,18317.448727,7766.019576,77537.985152,146263.032705,249898.49795999998,96393.980294,480135.099477,221.36628927354815,77.80141877465883
,1998-10-01 00:00:00,7377.688934,30570.177918,10034.201751,7671.330519,49761.593768,14276.698034,3086.387948,340.389442,12945.560618,10.839696,19487.360878,7121.225628,77429.964558,150403.479948,254452.870708,95035.704039,485552.60367899993,243.38913050342722,78.2771271448362
,1998-11-01 00:00:00,7784.07257,29855.372567,11002.212586,7865.999294,50906.23732,11628.271819,5414.061261,340.389442,13065.949854,15.916436,19326.147834,7433.495839,79481.230851,150350.270915,256607.061875,98313.891957,492783.52054500004,226.79612035090935,77.21313053898098
,1998-12-01 00:00:00,8319.71817326,31347.718958,11803.1441,8201.704067,52227.18359008,13552.168049,5008.298939,340.389442,13312.99415943,11.080532,21145.946665,6815.2239586099995,82223.92043093,153580.074249,263776.24583554,93793.22708167999,501682.79239499,241.8788379669327,77.70507094326977
,1999-01-01 00:00:00,7827.998903,28621.935354,11500.763608,8007.910655,52892.530092,12572.024031,6218.185019,340.389442,13502.83271643,12.105147,23303.377112,6341.662708,78918.577173,155163.50818,263739.23032,98199.949682,503423.74982243,238.22615059569944,77.31828884357697
,1999-02-01 00:00:00,6232.015778,30938.898945,12717.620809,8155.371227,59626.331199,10423.093606,7387.932285,340.389442,13480.17864043,12.708566,22827.794199,6493.328894,78214.525843,156075.574375,263623.931877,97611.878317,510537.64212543005,250.43152574481834,76.12686192933296
,1999-03-01 00:00:00,9945.316635,30630.087389,8793.824896,8465.124072,58552.403186,8766.682259,4496.637154,340.389442,13417.20959843,13.776323,22813.787059,6520.559464,84626.383452,155463.552343,269438.05864099995,98065.017775,510910.75104743,243.94823331252678,77.65927575464687
,1999-04-01 00:00:00,9198.409118,29633.708074,12778.977969,13223.295116,60309.197063,8271.557175,5061.071151,340.389442,13438.45595043,17.256152,25191.995389,6510.833724,88213.750785,157506.656615,277440.492665,103703.410317,533398.96404043,239.11669565108372,79.32825053701485
,1999-05-01 00:00:00,8279.514247,27277.117952,11520.606219,11913.066124,62694.20286,7403.441719,6170.254395,340.389442,13528.36209443,13.474094,26303.134954,6241.516434,86379.294786,160732.369651,279669.789919,105600.557048,534397.3020194301,240.44527794626228,79.02852530413514
,1999-06-01 00:00:00,9470.118943,28811.599122,10851.001182,8846.482595,58413.455644,7709.559611,8851.812925,340.389442,13718.32839543,9.194638,25125.035108,6213.345235,83303.463309,163834.838676,278485.876966,102498.271678,527996.89650343,242.95185487046248,78.01959092688709
,1999-07-01 00:00:00,8384.349258,29546.130814,11866.960915,8949.897477,60194.016483,10006.514528,8498.314901,340.389442,13925.06907943,11.102981,24316.24733,6930.664131,84651.945193,164815.549529,280725.50916400005,106227.509955,538664.66201643,250.036636049074,77.8875419729692
,1999-08-01 00:00:00,9827.69273774,25887.0441634,14373.526816,8171.636322,60046.13340184,6765.593062,8581.982742,340.389442,13832.46942243,10.516127,23648.75020834,7129.809825450001,85710.91991899001,167331.03497,283831.03104978,108358.48118461999,540015.98034381,236.98308347491155,78.45623361270023
,1999-09-01 00:00:00,8980.096919459998,27642.81802509,14256.513225,7885.815227,61356.00893622,8191.99444528,8744.742151,88.218642,14367.29367943,9.927239,23944.69535986,7492.8535269700005,86716.29927385,169654.44226187,287818.21766155,103110.18606865,542441.90498068,242.64353623670985,78.46292912290447
,1999-10-01 00:00:00,8251.54679,32038.227331,15121.101465,8288.056266,66139.368915,7867.865278,7295.183931,88.218642,13953.399387,8.753713,22688.196925,6774.896728,85643.67031,173803.487406,288919.005082,101771.47800564999,549733.45109265,255.64404237193318,77.60358113748288
,1999-11-01 00:00:00,9772.31371,30463.6657855,12474.904299,10582.179189,66843.8433335,9441.157809,8679.876446,88.218642,13988.866503,17.150563,23398.468561,6436.901475,86549.989303,179344.890651,295747.400553,100476.228757,558558.6550269999,249.91344228240231,77.80882047024078
,1999-12-01 00:00:00,11728.82559,28381.433202,14585.638949,8967.549794,69853.627988,11627.599369,7503.132857,88.218642,13554.219068,8.256988,22122.654748,6462.956361,91956.507056,184264.734845,304815.10999799997,99750.047274,570855.402731,246.35656662171579,78.24234545542652
,2000-01-01 00:00:00,9951.248735,29472.407671,15432.913228,10576.920607,71605.927866,11844.422871,8827.232608,88.218642,13446.525453,10.169602,23363.266225,6498.882751,87982.454591,182573.253495,300428.026664,104971.545516,576645.389861,252.31174169248237,76.42461533278345
,2000-02-01 00:00:00,9319.89666059,29122.89593409,12831.579522,8963.405168,73700.74576161,15608.090763,9439.759722,88.218642,14195.251391,13.7665645,24758.536024,6697.31810045,86996.79736152,185269.91930108,303736.33735155,105413.39538275999,582419.5762986,262.3382736966242,76.30435404265248
,2000-03-01 00:00:00,10240.57260856,32953.15858755,12265.49369,7888.201878,75957.69585070999,7965.377685,7657.381355,88.298642,14707.505519,9.183001,23106.372473,7139.411562969999,94770.88399322999,188020.38053793,313046.23156812997,104981.64790862,587751.5652925699,261.09329794195634,78.46550750779375
,2000-04-01 00:00:00,11857.285153,32440.666253,14910.502686,10186.164207,77529.038952,9855.609441,6458.605994,88.218642,14875.2079,8.850175,24226.138542,6667.615662,93460.296586,188961.91354426998,313324.81450926996,101901.416901,593427.53063827,271.3773916853049,78.6750391179259
,2000-05-01 00:00:00,11638.20487124,36422.168301410005,12562.433268,7116.811368,75255.73268492999,6050.472750229999,10859.756388,88.218642,14555.257921,4.947386,15040.74616968,7034.75351798,101870.37851251,188168.52303870002,312119.34862487,102828.10536191,589496.51018159,269.78628455602376,78.67553721870955
,2000-06-01 00:00:00,9990.90612351,34719.785368059995,14223.78704,7841.356172,75286.28452854001,6765.4174469,15122.285992,88.218642,14428.647387,5.483166,16157.92180548,7395.03553482,100348.01843416001,193391.73209429998,317298.19103476,108806.01998592001,604570.8997206901,259.9975844944717,78.52744639338854
,2000-07-01 00:00:00,10388.536317040001,33647.80505075,11504.881086,7628.15141,64561.49525773001,6280.65067045,15693.091444,88.218642,15249.277727,4.63228175,16038.76683197,8186.614589399999,102174.38282442,195464.21396482,321868.61049235996,104588.28296092,591499.00105825,248.51959088313512,79.18356146403592
,2000-08-01 00:00:00,9825.707445209999,26984.57043194,23564.171602,8086.831856,72495.59294637,5340.59966951,19350.13696,88.218642,15436.959518,6.564796,15436.59544227,8790.140365869998,101900.61963275999,196646.16768008,322780.08791698,106306.07806442001,610258.95505243,250.9722653896944,78.71751920272612
,2000-09-01 00:00:00,9639.66554192,33319.68399995,14636.279252,10307.860693,74956.199803,5893.314632899999,13225.12638,88.218642,15379.743325,15.3982285,15679.38052021,8980.771273960001,105970.46596533,196514.18845279998,327160.2044408,105556.05686017999,610162.35357075,253.72148442440744,78.71898818662538
,2000-10-01 00:00:00,11340.778473,21127.530141,25041.247881,10038.453026,85962.045965,4592.430207,13655.185274,88.218642,15671.486383,7.099439,16671.470772,8675.149795,109196.183348,197875.69262227,332425.59597627004,117567.90997,637510.8819382701,247.38525938279204,78.56232985998209
,2000-11-01 00:00:00,10398.05457543,30797.976506979998,25709.878045,8175.326216,85716.06795939,5492.06084905,7326.518133,88.218642,15665.57905443,5.233295,18463.63227002,8902.79769836,115052.46297395,202850.6059883,345274.73222562997,104668.65249223998,639313.0646991499,270.54980289127116,81.28676387004865
,2000-12-01 00:00:00,10669.179391709999,28873.133692569998,33102.424841,12460.717862,89032.44659551002,7402.33342132,7243.347386,88.218642,15643.25449143,15.96153123,21216.23305495,8788.16858753,119676.67587833,206966.27716094,356663.31621297996,116502.73449111,677681.10702763,246.50058475910643,80.05831590124225
,2001-01-01 00:00:00,12134.3950151,29738.279366849998,28736.707661,10171.754299,94819.35973038,3498.20871557,7186.635027,88.218642,15501.31536443,42.694729280000004,26786.756427880002,9160.03541049,122229.36518644,203948.59552189,362167.44727598,111491.81727464001,675534.1383719499,287.78495717145,81.03287238659038
,2001-02-01 00:00:00,11969.160680930001,26689.42011175,11140.574881319999,31423.001543,90225.51772251,5949.26165054,8974.456597,88.218642,15659.16040129,63.67472063,25454.19565419,8689.672614120002,124645.35716531,205608.983689,364461.88384325,130795.33750908,697375.9935826699,213.85877979505776,77.93413914986021
,2001-03-01 00:00:00,12016.35156599,31307.594072400003,9600.620226,24373.149416,87260.35812013001,4557.84188021,5113.806734,88.298642,16285.07112449,81.16451225,27690.035254,8650.90688491,130028.29012642,208506.22672872,374956.62350630003,124479.46212132,690039.17740884,232.61397671761242,81.54712341758064
,2001-04-01 00:00:00,12180.97273394,28951.238401529998,14319.631960530001,22219.370098,89494.50389349001,6905.19284251,7228.2077,88.298642,16480.99252362,57.2941066,27600.366094470002,7816.00979758,128808.89555172999,214057.89120613,378340.45675650996,124152.02890221,700360.8944543401,232.65754230196308,80.69275580834756
,2001-05-01 00:00:00,11066.011791719999,21780.830712310002,13169.927833,21763.433378,98955.38390493001,5055.6149965,7946.772683,88.298642,16632.7942366,59.26525375,27818.5379337,8443.76920902,133033.55436552002,207051.23371546,376406.36047745,119773.22115670999,692638.6498122199,242.99757630190462,79.90226125574766
,2001-06-01 00:00:00,9897.57255841,30909.45600928,13379.03351807,20078.468072,94999.6972008,5375.53413484,11205.722788,88.298642,17260.05096148,45.967155,24401.228596700003,7737.31246563,131034.89257324001,210462.46727656,373681.86806713,109801.51701557,686677.21896758,257.7536694244211,79.85073316187905
,2001-07-01 00:00:00,10921.999808530001,32230.92499084,11458.955331,23477.955028,102554.67438599,5589.3521011,7443.986823,88.298642,17734.513073,46.42224885,14756.70113259,7873.1684774,132472.53490027,214309.60855804998,369458.43531716,111211.56834534001,692170.6638459599,244.3818153979764,77.78540338700725
