<new sheet>
sheet_name: Sheet1
,Inflows and outflows of the CSE market ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,USD Mn
,,,,,(USD Mn),,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Month,Primary Market Inflows,Secondary Market ,,CSE net Inflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,Inflows,Outflows,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-02-01 00:00:00,4.554974281793025,56.231388312060474,43.16572047227358,17.62064212157992,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-03-01 00:00:00,19.94738299429262,67.37082327644511,123.00629039921057,-35.68808412847284,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-04-01 00:00:00,17.64873330455489,39.88748134620844,29.0961390349053,28.440075615858028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-05-01 00:00:00,8.258744664587002,45.43493015880654,48.195960325293754,5.497714498099782,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-06-01 00:00:00,0.004799407950786377,37.90951653123998,37.57022868642181,0.3440872527689578,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-07-01 00:00:00,4.864767388028751,19.156777430562787,26.73571717155306,-2.7141723529615227,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-08-01 00:00:00,4.178060364789804,30.251243494733036,40.527176872037685,-6.097873012514846,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-09-01 00:00:00,3.0410802890332342,23.35690096792213,33.322386088652365,-6.924404831697,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-10-01 00:00:00,4.119390688051303,35.91422220579535,76.50769961138968,-36.47408671754303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-11-01 00:00:00,0,26.582967551699912,56.673057426934875,-30.090089875234963,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2018-12-01 00:00:00,0,31.165179252435767,57.316999339339894,-26.151820086904127,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2018,77.20127161720949,482.83285143015326,615.4250198786609,-55.39089683129821,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-01-01 00:00:00,0,24.97566564347826,39.0491189828855,-14.073453339407244,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-02-01 00:00:00,0.0497949285077551,30.900171705528066,45.68691009391921,-14.736943459883388,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-03-01 00:00:00,1.4494879836836279,30.669948696031614,37.09578438350477,-4.9763477037895285,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-04-01 00:00:00,0.04208026392956088,29.280000724137718,19.315051188495584,10.007029799571693,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-05-01 00:00:00,10.485809082376928,10.005042159111483,16.75064200173448,3.7402092397539306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-06-01 00:00:00,14.36842515788383,7.165479127607327,11.617697966322257,9.9162063191689,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-07-01 00:00:00,3.183359566719609,74.67314668987713,33.98399930090193,43.8725069556948,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-08-01 00:00:00,0.0028094545337263494,16.240206380447347,28.217078627416992,-11.97406279243592,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-09-01 00:00:00,0.012169812249668347,36.23516096053879,43.14479396568284,-6.897463192894378,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-10-01 00:00:00,0.0682277402384899,28.208162443225937,37.85935217256029,-9.582961989095864,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-11-01 00:00:00,0,16.90391003033622,52.49324275651781,-35.58933272618159,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2019-12-01 00:00:00,0.797218523451439,12.34763083920849,17.726955085154383,-4.582105722494454,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2019,30.459382513574635,317.60452539952837,382.94062652509604,-34.87671861199303,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-01-01 00:00:00,0.6372961213962075,150.0507614956511,166.4696725300997,-15.78161491305238,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-02-01 00:00:00,0.02753868083109535,10.162194630061553,16.14058896279662,-5.9508556519039715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-03-01 00:00:00,0,8.085825982751249,14.479931739283941,-6.394105756532692,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-04-01 00:00:00,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-05-01 00:00:00,0,20.317255273700436,56.654998019304706,-36.337742745604274,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-06-01 00:00:00,0,20.58185034572957,66.96430793800204,-46.382457592272466,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-07-01 00:00:00,0,25.45187863356225,43.58297973852313,-18.13110110496088,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-08-01 00:00:00,0,9.14766738985364,52.819240792199786,-43.67157340234615,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-09-01 00:00:00,0.02702239253020776,13.905376701560233,55.79177739733029,-41.85937830323985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-10-01 00:00:00,49.96681473998486,10.454304301406877,39.520581502205225,20.900537539186516,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-11-01 00:00:00,0,9.373269305148503,24.48764246761428,-15.114373162465776,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2020-12-01 00:00:00,0,12.459152930177574,28.95452094501729,-16.495368014839716,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total - 2020,50.65867193474237,289.989536989603,565.8662420323769,-225.21803310803168,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-01-01 00:00:00,0,18.104370643567833,62.10737762744971,-44.003006983881875,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-02-01 00:00:00,0,13.25582986959339,38.83016972456398,-25.57433985497059,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-03-01 00:00:00,0,45.00516211076654,66.36998051531522,-21.36481840454868,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-04-01 00:00:00,2.927501972357837,10.622193757437262,29.498488480956127,-15.948792751161028,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2021-05-01 00:00:00,7.318891956740508,12.654952640093473,31.91193732361102,-11.93809272677704,,,,,,,,,,,,,,,,,,,,,,,,,,,,
