,Item,,,,,31st Dec - 2012,,31st Dec - 2013,,31st Mar - 2014,,30th Jun - 2014,,30th Sep - 2014,,31st Dec - 2014,,31st Mar - 2015,,30th Jun - 2015,,30th Sep - 2015,,31st Dec - 2015,,31st Mar - 2016,,30th Jun - 2016,,30th Sep - 2016,,31st Dec - 2016,,31st Mar - 2017,,30th June - 2017,,30th Sep - 2017,,31st Dec - 2017,,31st Mar - 2018,,30th June - 2018,,30th Sep - 2018,,31st Dec - 2018,,31st Mar - 2019,,30th June - 2019,,30th Sep - 2019,,31st Dec - 2019,,31st Mar - 2020,,30th June - 2020,,30th Sep - 2020,,31st Dec - 2020,,31st Mar - 2021,,30th June - 2021,,30th Sep - 2021,,31st Dec - 2021,,31st Mar - 2022,,30th June - 2022,,30th Sep - 2022,,31st Dec - 2022,,31st Mar - 2023,,30th Jun - 2023,
,,,,,,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities,Assets,Liabilities

,,  Accrued Interest of ISB coupons,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,0,,187.00580324999999,,363.5237865,,550.5295897500001,,727.0522142500001,,914.0580175000002
,     Other Sectors,,,,,,,,,,0,,175.99856944249998,,176.7913194425,,174.0283615,,175.2600694425,,172.0663194425,,172.8625694425,,164.487361115,,168.39909723,,172.385111115,,179.38034723,,172.18784723,,177.49909723000002,,178.049861115,,179.71683332749998,,176.8240833275,,177.63472223000002,,173.6872083275,,176.1893194425,,170.5153333275,,177.0354444425,,176.3319444425,,177.9891944425,,173.84859723000002,,123.61319444250002,,128.6444444425,,124.70694444250002,,95.71527777,,106.24930555750001,,118.36319444250002,,110.857638885,,93.795138885,,85.482638885,,85.701388885,,104.513888885,,77.65625,,100.84375,,99.75
,        Short-term,,,,,,,,,,0,,0,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,        Long-term,,,,,,,,,,0,,175.99856944249998,,176.7913194425,,174.0283615,,175.2600694425,,172.0663194425,,172.8625694425,,164.487361115,,168.39909723,,172.385111115,,179.38034723,,172.18784723,,177.49909723000002,,178.049861115,,179.71683332749998,,176.8240833275,,177.63472223000002,,173.6872083275,,176.1893194425,,170.5153333275,,177.0354444425,,176.3319444425,,177.9891944425,,173.84859723000002,,123.61319444250002,,128.6444444425,,124.70694444250002,,95.71527777,,106.24930555750001,,118.36319444250002,,110.857638885,,93.795138885,,85.482638885,,85.701388885,,104.513888885,,77.65625,,100.84375,,99.75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.71875,,87.5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.125,,12.25
,Financial Derivatives,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

,Other investment ,,,,,1611.2306564602486,28272.68373336985,1420.1781459402844,29375.74619488247,1841.7931218255349,29726.786816473483,2011.639433174476,30330.95171192211,1938.411345029285,29667.536376054646,2370.379149570034,29575.115428041147,2238.465373184061,29609.569925937598,2213.572353516182,30326.543632679226,2199.417606255395,30985.985080182814,2613.958781700978,31387.45407921331,2682.2615504577107,31620.183053625566,2674.473714645229,31610.26015806996,3260.930662614183,31771.322409115975,3027.794650179355,31328.92250685394,2841.632258946607,31510.441362737096,3017.480887367888,32703.161055771852,3216.1579214451294,32574.99589882175,3370.55296083786,34185.50975602299,3198.6020280139956,34467.98817190031,3040.131497852514,33871.968567527656,3508.3077674742262,34123.78532830504,3745.7251149693516,35197.57993087674,3962.8394783723757,34811.835112755325,3721.073057476839,34585.97727921864,3811.94912589249,34706.694045798446,3845.5733416286257,35227.33797061977,4179.816082609214,36081.44467198194,3787.574665136526,34953.2397727857,3454.076133469401,35394.399523910586,3709.768823998346,36339.71120857926,3375.2370148999034,36354.55502238456,3746.7143056951354,37350.08198798927,4488.948461688651,39249.25786864398,4096.207388191531,40080.823647926634,4631.5049147326945,40214.00932134406,4934.486318659605,39989.38289495,5548.294373541234,39664.446009092404,5398.551943774255,39699.874075739244,5457.643834523509,39902.53389359196,5593.915102515948,39930.061519403316

,  Other equity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,  Currency & deposits,,,,,741.3355658294852,1778.3219080622803,282.62811247925487,1886.0352557942101,432.4872264793807,1712.6253031177275,411.0175365344147,1749.485128221466,352.0250008936056,1625.1060207626847,558.3139772267695,1593.7904582431283,543.1341597366438,1581.6184916629659,493.69050512341073,1993.9751315963977,498.87177052894674,3088.5673584491674,701.0019957337904,3050.775416820845,596.6524090548991,2696.900904124813,567.3113331015489,2069.925459467172,828.9648204881445,2322.345276609194,705.8230559345791,2441.574299442667,652.5303567526107,1836.8706728861994,618.5109677675727,1860.6080484946342,573.504428043943,1774.348175316247,784.1504651996536,2213.215605122461,558.4810791517735,2385.3025103921827,427.2384551826807,1884.8675536079427,812.9991186813504,1982.6538042284024,863.7000091764759,1580.7855502622745,1014.190542490093,1761.8381865787937,904.5022408214683,1393.316335239348,830.4054121483756,1712.6322264662888,771.0211086030149,1748.2714144223135,857.1593213521528,1553.6237720225147,792.5284044034804,1112.2620573711642,685.7787452242964,1488.6719033063441,835.4631373888063,1733.5029358352886,531.0498712404735,1456.4717759972546,783.7713018816423,1556.1680434101568,1237.7874374467774,3234.6814830905087,1141.7267290546802,5749.017895984892,1385.4666607959866,6375.302647180981,1629.907868364908,6101.397495722636,1736.4025012482778,6392.11721064771,1655.6146857618903,5880.015035075527,1435.681496661785,5525.140872757488,1461.148754742091,5785.416513450803
,     Central Bank,,,,,,204.65074284402112,,5.561476338745569,,5.456438570059003,,4.882422257558964,,7.488449613831999,,6.4298976932985195,,5.824224839127155,,407.0031006982799,,1505.0810640411091,,1104.500781981754,,1104.2709499126477,,403.64116923938053,,404.3163420733232,,403.0162026471963,,2.761880189724996,,2.3692533925476695,,1.8789049933930768,,1.3466860988991198,,1.0731902001955418,,0.4748005084770241,,0.44378620808654673,,0.4044184270962699,,0.3866870221428873,,0.32817724472982307,,0.3117612060756486,,0.3055511996652342,,0.2461386836005796,,0.3766398462754447,,400.3647296524301,,400.27436111480074,,0.9381559768325302,,0.9211398183138849,,201.19237035353026,,1775.1205353540172,,2074.2706854322073,,2036.5443106369326,,2022.4690329125106,,2037.2075678725732,,2012.617783671697,,2022.2178620030118
,         Short term,,,,,,4.6507428440211385,,5.561476338745569,,5.456438570059003,,4.882422257558964,,7.488449613831999,,6.4298976932985195,,5.824224839127155,,7.003100698279923,,5.08106404110913,,4.500781981754017,,4.270949912647666,,3.641169239380531,,4.316342073323142,,3.0162026471962804,,2.761880189724996,,2.3692533925476695,,1.8789049933930768,,1.3466860988991198,,1.0731902001955418,,0.4748005084770241,,0.44378620808654673,,0.4044184270962699,,0.3866870221428873,,0.32817724472982307,,0.3117612060756486,,0.3055511996652342,,0.2461386836005796,,0.3766398462754447,,0.3647296524301282,,0.2743611148007403,,0.9381559768325302,,0.9211398183138849,,1.192370353530265,,1.2742080379655363,,2.782391117826137,,3.2843910307990427,,1.1435989086526206,,1.4017313455156,,0.30981014468397916,,0.35411912071344886
,         Long term,,,,,,200,,0,,0,,0,,0,,,,0,,400,,1500,,1100,,1100,,400,,400.00000000000006,,400,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,0,,400,,400,,0,,0,,200,,1773.8463273160517,,2071.488294314381,,2033.2599196061335,,2021.325434003858,,2035.8058365270576,,2012.307973527013,,2021.8637428822983
,     Deposit taking corporations,,,,,741.3355658294852,1573.6711652182591,282.62811247925487,1880.4737794554646,432.4872264793807,1707.1688645476686,411.0175365344147,1744.602705963907,352.0250008936056,1617.6175711488527,558.3139772267695,1587.3605605498299,543.1341597366438,1575.7942668238388,493.69050512341073,1586.9720308981177,498.87177052894674,1583.4862944080583,701.0019957337904,1946.2746348390906,596.6524090548991,1592.6299542121656,567.3113331015489,1666.2842902277916,828.9648204881445,1918.0289345358708,705.8230559345791,2038.5580967954704,652.5303567526107,1834.1087926964744,618.5109677675727,1858.2387951020864,573.504428043943,1772.469270322854,784.1504651996536,2211.868919023562,558.4810791517735,2384.229320191987,427.2384551826807,1884.3927530994656,812.9991186813504,1982.2100180203158,863.7000091764759,1580.3811318351782,1014.190542490093,1761.4514995566508,904.5022408214683,1392.9881579946182,830.4054121483756,1712.320465260213,771.0211086030149,1747.9658632226483,857.1593213521528,1553.3776333389142,792.5284044034804,1111.885417524889,685.7787452242964,1088.307173653914,835.4631373888063,1333.2285747204878,531.0498712404735,1455.533620020422,783.7713018816423,1555.246903591843,1237.7874374467774,3033.4891127369783,1141.7267290546802,3973.8973606308746,1385.4666607959866,4301.031961748773,1629.907868364908,4064.8531850857034,1736.4025012482778,4369.648177735199,1655.6146857618903,3842.807467202954,1435.681496661785,3512.523089085791,1461.148754742091,3763.1986514477912
