<new sheet>
sheet_name: 1.06
,1.06 Greater Colombo Housing Approval Index - Quarterly (2003 - 2020) (a),,,,,,,,,,,,
,,Base Period : 1995 Q1 = 100,,,,,,,,,,,
,Period,Number of Housing Approvals,,,,Housing Approval Index  ,,,,Other Building Approvals,,All Buildings,
,,<1000 sq. ft.,1000-2000 sq.ft,>2000 sq. ft.,Total,<1000 sq. ft.,1000-2000 sq.ft,>2000 sq. ft.,All,No.,Index,No.,Index

,         Q2,268,963,1078,2309,34.22733077905492,98.66803278688525,143.92523364485982,92.06539074960128,342,68.5370741482966,2651,88.1609577652145
,         Q3,372,1220,1558,3150,47.509578544061306,125,208.01068090787717,125.5980861244019,443,88.77755511022045,3593,119.48786165613568
,         Q4,322,1029,1272,2623,41.123882503192846,105.43032786885247,169.826435246996,104.58532695374801,375,75.1503006012024,2998,99.70069837046891

,2012 Q1,373,1062,1376,2811,47.63729246487867,108.81147540983606,183.71161548731644,112.08133971291868,385,77.15430861723446,3196,106.28533422015298
,         Q2,279,921,1190,2390,35.63218390804598,94.36475409836066,158.87850467289718,95.2950558213716,296,59.318637274549104,2686,89.32490854672432
,         Q3,380,1233,1598,3211,48.53128991060026,126.33196721311475,213.35113484646195,128.03030303030303,384,76.95390781563127,3595,119.5543731293648
,         Q4,326,1080,1452,2858,41.63473818646232,110.65573770491804,193.8584779706275,113.95534290271132,360,72.14428857715431,3218,107.01696042567343

,2013 Q1,299,960,1400,2659,38.18646232439336,98.36065573770492,186.9158878504673,106.0207336523126,393,78.75751503006012,3052,101.49650814765548
,         Q2,260,1002,1252,2514,33.205619412515965,102.6639344262295,167.1562082777036,100.23923444976077,314,62.925851703406806,2828,94.04722314599269
,         Q3,294,1080,1531,2905,37.547892720306514,110.65573770491804,204.40587449933244,115.829346092504,385,77.15430861723446,3290,109.41137346192218
,         Q4,337,1041,1379,2757,43.039591315453386,106.65983606557377,184.11214953271028,109.92822966507177,330,66.13226452905812,3087,102.66045892916529

,2014 Q1,296,1102,1371,2769,37.80332056194125,112.90983606557377,183.04405874499332,110.40669856459331,386,77.35470941883767,3155,104.92184901895575
