<new sheet>
sheet_name: HS codes Export Classification 
HS Codes related to 2007-Jan 2023 Export Classification (a),,,
No.,Major Category,Minor Category,HSCO
185,Agricultural exports,Minor agricultural exports,100390
186,Agricultural exports,Minor agricultural exports,100400
187,Agricultural exports,Minor agricultural exports,100410
188,Agricultural exports,Minor agricultural exports,100490
189,Agricultural exports,Minor agricultural exports,100510
190,Agricultural exports,Minor agricultural exports,100590
191,Agricultural exports,Minor agricultural exports,100610
192,Agricultural exports,Minor agricultural exports,100620
193,Agricultural exports,Minor agricultural exports,100630
194,Agricultural exports,Minor agricultural exports,100640
195,Agricultural exports,Minor agricultural exports,100700
196,Agricultural exports,Minor agricultural exports,100790
197,Agricultural exports,Minor agricultural exports,100810
198,Agricultural exports,Minor agricultural exports,100830
199,Agricultural exports,Minor agricultural exports,100850
200,Agricultural exports,Minor agricultural exports,100890
201,Agricultural exports,Minor agricultural exports,120100
202,Agricultural exports,Minor agricultural exports,120110
203,Agricultural exports,Minor agricultural exports,120190
204,Agricultural exports,Minor agricultural exports,120210
205,Agricultural exports,Minor agricultural exports,120220
206,Agricultural exports,Minor agricultural exports,120230
207,Agricultural exports,Minor agricultural exports,120241
208,Agricultural exports,Minor agricultural exports,120242
209,Agricultural exports,Minor agricultural exports,120400
210,Agricultural exports,Minor agricultural exports,120510
211,Agricultural exports,Minor agricultural exports,120590
212,Agricultural exports,Minor agricultural exports,120600
213,Agricultural exports,Minor agricultural exports,120710
214,Agricultural exports,Minor agricultural exports,120720
215,Agricultural exports,Minor agricultural exports,120721
216,Agricultural exports,Minor agricultural exports,120729
217,Agricultural exports,Minor agricultural exports,120730
218,Agricultural exports,Minor agricultural exports,120740
219,Agricultural exports,Minor agricultural exports,120750
220,Agricultural exports,Minor agricultural exports,120760
221,Agricultural exports,Minor agricultural exports,120770
222,Agricultural exports,Minor agricultural exports,120791
223,Agricultural exports,Minor agricultural exports,120799
224,Agricultural exports,Minor agricultural exports,120810
225,Agricultural exports,Minor agricultural exports,120890
226,Agricultural exports,Minor agricultural exports,120910
227,Agricultural exports,Minor agricultural exports,120919
228,Agricultural exports,Minor agricultural exports,120921
229,Agricultural exports,Minor agricultural exports,120922
230,Agricultural exports,Minor agricultural exports,120925
231,Agricultural exports,Minor agricultural exports,120929
232,Agricultural exports,Minor agricultural exports,120930
233,Agricultural exports,Minor agricultural exports,120991
234,Agricultural exports,Minor agricultural exports,120999
235,Agricultural exports,Minor agricultural exports,121010
236,Agricultural exports,Minor agricultural exports,121020
237,Agricultural exports,Minor agricultural exports,121110
238,Agricultural exports,Minor agricultural exports,121120
239,Agricultural exports,Minor agricultural exports,121130
240,Agricultural exports,Minor agricultural exports,121140
241,Agricultural exports,Minor agricultural exports,121150
242,Agricultural exports,Minor agricultural exports,121190
243,Agricultural exports,Minor agricultural exports,121220
244,Agricultural exports,Minor agricultural exports,121221
245,Agricultural exports,Minor agricultural exports,121229
246,Agricultural exports,Minor agricultural exports,121230
247,Agricultural exports,Minor agricultural exports,121293
248,Agricultural exports,Minor agricultural exports,121299
249,Agricultural exports,Minor agricultural exports,121300
250,Agricultural exports,Minor agricultural exports,121490
251,Agricultural exports,Minor agricultural exports,130120
252,Agricultural exports,Minor agricultural exports,130190
253,Agricultural exports,Minor agricultural exports,130211
254,Agricultural exports,Minor agricultural exports,130212
255,Agricultural exports,Minor agricultural exports,130219
256,Agricultural exports,Minor agricultural exports,130220
257,Agricultural exports,Minor agricultural exports,130231
258,Agricultural exports,Minor agricultural exports,130232
259,Agricultural exports,Minor agricultural exports,130239
260,Agricultural exports,Minor agricultural exports,140110
261,Agricultural exports,Minor agricultural exports,140120
262,Agricultural exports,Minor agricultural exports,140190
263,Agricultural exports,Minor agricultural exports,151321
264,Agricultural exports,Minor agricultural exports,151329
265,Agricultural exports,Minor agricultural exports,180200
266,Agricultural exports,Minor agricultural exports,180310
267,Agricultural exports,Minor agricultural exports,180320
268,Agricultural exports,Minor agricultural exports,330111
269,Agricultural exports,Minor agricultural exports,330112
270,Agricultural exports,Minor agricultural exports,330113
271,Agricultural exports,Minor agricultural exports,330114
272,Agricultural exports,Minor agricultural exports,330119
273,Agricultural exports,Minor agricultural exports,330121
274,Agricultural exports,Minor agricultural exports,330122
275,Agricultural exports,Minor agricultural exports,330123
276,Agricultural exports,Minor agricultural exports,330124
277,Agricultural exports,Minor agricultural exports,330125
278,Agricultural exports,Minor agricultural exports,330126
279,Agricultural exports,Minor agricultural exports,330129
280,Agricultural exports,Minor agricultural exports,330130
281,Agricultural exports,Minor agricultural exports,330290
282,Agricultural exports,Minor agricultural exports,06012001
283,Agricultural exports,Minor agricultural exports,06012009
284,Agricultural exports,Minor agricultural exports,06012010
285,Agricultural exports,Minor agricultural exports,06012090
286,Agricultural exports,Minor agricultural exports,06022090
287,Agricultural exports,Minor agricultural exports,06029001
288,Agricultural exports,Minor agricultural exports,06029009
289,Agricultural exports,Minor agricultural exports,06029010
290,Agricultural exports,Minor agricultural exports,06029011
291,Agricultural exports,Minor agricultural exports,06029019
292,Agricultural exports,Minor agricultural exports,06029020
293,Agricultural exports,Minor agricultural exports,06029021
294,Agricultural exports,Minor agricultural exports,06029029
295,Agricultural exports,Minor agricultural exports,06029090
296,Agricultural exports,Minor agricultural exports,06029091
297,Agricultural exports,Minor agricultural exports,06029099
298,Agricultural exports,Minor agricultural exports,06031001
299,Agricultural exports,Minor agricultural exports,06031002
