<new sheet>
sheet_name: HS codes Import Classification
No.,Major Category,Minor Category,HSCO
534,Consumer goods,Clothing and accessories,650200
535,Consumer goods,Clothing and accessories,650300
536,Consumer goods,Clothing and accessories,650400
537,Consumer goods,Clothing and accessories,650500
538,Consumer goods,Clothing and accessories,650510
539,Consumer goods,Clothing and accessories,650590
540,Consumer goods,Clothing and accessories,650610
541,Consumer goods,Clothing and accessories,650639
542,Consumer goods,Clothing and accessories,650691
543,Consumer goods,Clothing and accessories,650692
544,Consumer goods,Clothing and accessories,650700
545,Consumer goods,Clothing and accessories,652439
546,Consumer goods,Clothing and accessories,701810
547,Consumer goods,Clothing and accessories,701820
548,Consumer goods,Clothing and accessories,701890
549,Consumer goods,Clothing and accessories,900410
550,Consumer goods,Clothing and accessories,900490
551,Consumer goods,Clothing and accessories,910111
552,Consumer goods,Clothing and accessories,910112
553,Consumer goods,Clothing and accessories,910119
554,Consumer goods,Clothing and accessories,910121
555,Consumer goods,Clothing and accessories,910129
556,Consumer goods,Clothing and accessories,910191
557,Consumer goods,Clothing and accessories,910199
558,Consumer goods,Clothing and accessories,910211
559,Consumer goods,Clothing and accessories,910212
560,Consumer goods,Clothing and accessories,910219
561,Consumer goods,Clothing and accessories,910221
562,Consumer goods,Clothing and accessories,910229
563,Consumer goods,Clothing and accessories,910291
564,Consumer goods,Clothing and accessories,910299
565,Consumer goods,Clothing and accessories,910811
566,Consumer goods,Clothing and accessories,910812
567,Consumer goods,Clothing and accessories,910819
568,Consumer goods,Clothing and accessories,910820
569,Consumer goods,Clothing and accessories,910890
570,Consumer goods,Clothing and accessories,910891
571,Consumer goods,Clothing and accessories,910899
572,Consumer goods,Clothing and accessories,911011
573,Consumer goods,Clothing and accessories,961900
574,Consumer goods,Clothing and accessories,39262001
575,Consumer goods,Clothing and accessories,39262002
576,Consumer goods,Clothing and accessories,39262009
577,Consumer goods,Clothing and accessories,39262010
578,Consumer goods,Clothing and accessories,39262020
579,Consumer goods,Clothing and accessories,39262090
580,Consumer goods,Clothing and accessories,42021110
581,Consumer goods,Clothing and accessories,42021190
582,Consumer goods,Clothing and accessories,42021210
583,Consumer goods,Clothing and accessories,42021290
584,Consumer goods,Clothing and accessories,42021910
585,Consumer goods,Clothing and accessories,42021990
586,Consumer goods,Clothing and accessories,42050001
587,Consumer goods,Clothing and accessories,42050009
588,Consumer goods,Clothing and accessories,42050010
589,Consumer goods,Clothing and accessories,42050090
590,Consumer goods,Clothing and accessories,42061010
591,Consumer goods,Clothing and accessories,42061020
592,Consumer goods,Clothing and accessories,42061030
593,Consumer goods,Clothing and accessories,42061090
594,Consumer goods,Clothing and accessories,42069010
595,Consumer goods,Clothing and accessories,42069020
596,Consumer goods,Clothing and accessories,42069030
597,Consumer goods,Clothing and accessories,42069090
598,Consumer goods,Clothing and accessories,61114301
599,Consumer goods,Clothing and accessories,61152010
600,Consumer goods,Clothing and accessories,61152090
601,Consumer goods,Clothing and accessories,61159110
602,Consumer goods,Clothing and accessories,61159120
603,Consumer goods,Clothing and accessories,61159190
604,Consumer goods,Clothing and accessories,61159210
605,Consumer goods,Clothing and accessories,61159220
606,Consumer goods,Clothing and accessories,61159290
607,Consumer goods,Clothing and accessories,61159310
608,Consumer goods,Clothing and accessories,61159320
609,Consumer goods,Clothing and accessories,61159390
610,Consumer goods,Clothing and accessories,61159910
611,Consumer goods,Clothing and accessories,61159920
612,Consumer goods,Clothing and accessories,61159990
613,Consumer goods,Clothing and accessories,61178001
614,Consumer goods,Clothing and accessories,61178002
615,Consumer goods,Clothing and accessories,61178009
616,Consumer goods,Clothing and accessories,61178010
617,Consumer goods,Clothing and accessories,61178020
618,Consumer goods,Clothing and accessories,62031219
619,Consumer goods,Clothing and accessories,62031290
620,Consumer goods,Clothing and accessories,62031911
621,Consumer goods,Clothing and accessories,62031919
622,Consumer goods,Clothing and accessories,62031990
623,Consumer goods,Clothing and accessories,62032219
624,Consumer goods,Clothing and accessories,62032290
625,Consumer goods,Clothing and accessories,62032319
626,Consumer goods,Clothing and accessories,62032390
627,Consumer goods,Clothing and accessories,62032919
628,Consumer goods,Clothing and accessories,62032990
629,Consumer goods,Clothing and accessories,62033219
630,Consumer goods,Clothing and accessories,62033220
631,Consumer goods,Clothing and accessories,62033290
632,Consumer goods,Clothing and accessories,62033319
633,Consumer goods,Clothing and accessories,62033390
634,Consumer goods,Clothing and accessories,62033919
635,Consumer goods,Clothing and accessories,62033990
636,Consumer goods,Clothing and accessories,62034211
637,Consumer goods,Clothing and accessories,62034219
638,Consumer goods,Clothing and accessories,62034220
639,Consumer goods,Clothing and accessories,62034290
640,Consumer goods,Clothing and accessories,62034319
641,Consumer goods,Clothing and accessories,62034320
642,Consumer goods,Clothing and accessories,62034390
643,Consumer goods,Clothing and accessories,62034911
644,Consumer goods,Clothing and accessories,62034919
645,Consumer goods,Clothing and accessories,62034920
646,Consumer goods,Clothing and accessories,62034990
647,Consumer goods,Clothing and accessories,62041219
648,Consumer goods,Clothing and accessories,62041290
649,Consumer goods,Clothing and accessories,62041311
650,Consumer goods,Clothing and accessories,62041319
651,Consumer goods,Clothing and accessories,62041390
652,Consumer goods,Clothing and accessories,62041911
653,Consumer goods,Clothing and accessories,62041919
654,Consumer goods,Clothing and accessories,62041990
655,Consumer goods,Clothing and accessories,62042211
656,Consumer goods,Clothing and accessories,62042290
657,Consumer goods,Clothing and accessories,62042311
658,Consumer goods,Clothing and accessories,62042390
659,Consumer goods,Clothing and accessories,62042990
660,Consumer goods,Clothing and accessories,62043211
661,Consumer goods,Clothing and accessories,62043219
662,Consumer goods,Clothing and accessories,62043290
663,Consumer goods,Clothing and accessories,62043319
664,Consumer goods,Clothing and accessories,62043390
665,Consumer goods,Clothing and accessories,62043919
