<new sheet>
sheet_name: GDP (Constant 2015)
,,,,,,,,,,,,,,,,,,,,,Rs. Million
23. Manufacture of coke and refined petroleum products,6222.310472781428,5637.794640039432,6836.508556874403,5932.942474953314,24629.55614464858,5329.261939884924,4181.828995905675,6189.008440955571,6407.888111283304,22107.98748802948,3166.8001284352395,4771.898240792692,4607.6103232985115,2945.317113369485,15491.625805895921,2411.587536865618,1058.1396688531468,2027.1525744555402,977.2739485722186,6474.153728746525,4651.952704769723
"24. Manufacture of chemicals and chemical  products, basic pharmaceutical  products and pharmaceutical preparations",19613.9025312732,26179.389904911593,21096.759054504553,23254.149019507087,90144.20051019642,17986.742213658617,23835.03005392519,24215.951123023602,26119.64014301952,92157.36353362689,21875.112230593906,27050.714349481474,23040.493690272957,23826.59890808028,95792.9191784286,18714.995765589854,25807.68075456384,20941.30960794465,16885.64135990068,82349.62748799901,14589.191638900105
25. Manufacture of rubber and plastic products,14036.704714459656,30556.98985679166,25685.69810845968,28149.229786767275,98428.62246647826,12405.191645161154,17591.817142536915,26385.277167725544,24800.165635561305,81182.45159098494,14587.859055004183,28807.277910445257,28457.13337101601,25583.261679693274,97435.53201615873,13657.379191550233,23894.150783128567,19382.900827162746,10572.161440206133,67506.59224204767,11447.742368067282
26. Manufacture of other non- metallic mineral products ,27679.49276420129,27295.752516788336,23635.50917713307,28451.068150462335,107061.82260858506,26817.197559173954,20473.28082093259,23130.05030412811,32264.442776717886,102684.97146095254,30758.026447483222,29490.352790966623,24273.31786108717,35451.50719360921,119973.20429314626,29805.175443900443,20995.141195598262,14125.981183064341,20261.26203308675,85187.55985564983,22950.137164270833
27. Manufacture of basic metals and fabricated metal products (except machinery and equipment),21873.716408032982,11387.807905672864,18860.05958845867,28190.80885745463,80312.39275961916,23957.232769099235,8036.558902697496,18186.263321517097,27678.873643941955,77858.92863725577,25563.257892432062,14030.52307411785,16485.461179451195,25094.594009461423,81173.83615546252,22402.28232768061,9859.300163242007,9529.364335304352,16989.64302298954,58780.589849216514,12606.573562899051
28. Manufacture of machinery and equipment i.e..,17228.597743529248,10416.88368328459,15101.895211241805,23366.25939437402,66113.63603242968,16165.728188701094,7728.685018201575,15692.69806422067,25600.35488586179,65187.46615698513,17191.249784436313,11508.730695947108,17055.71074333731,27334.486623998862,73090.1778477196,16352.684643660516,11463.06285050003,13604.466809042724,17760.81671353569,59181.031016738954,10627.805124465238
29. Manufacture of furniture ,28213.564410448882,24992.201902527275,20438.91266933227,21825.666424959025,95470.34540726745,25586.400721193964,14697.971557862295,18805.53345969301,22560.962653113063,81650.86839186234,25534.93593279779,22975.35501985994,14910.958655377448,19272.596677902347,82693.84628593751,21526.079303018716,22954.86578599849,9114.264590325623,7242.265441487813,60837.475120830626,14397.517923123958
30. Other manufacturing and Repair and installation of machinery and equipment,24767.428614274475,21435.089380517686,28339.732895511883,21889.359639327955,96431.610529632,23368.77640482533,16871.381036353963,25027.088451696298,22318.4118683672,87585.6577612428,26880.454205136484,25134.53747936048,25788.372280385123,23244.499364812727,101047.86332969484,24331.358490861065,22720.103446177698,18418.066999077007,13618.813209824966,79088.34214594074,16918.54223183305
"31. Electricity, gas, steam and air conditioning supply",38851.044685902736,45773.80568566576,49219.17377897953,50196.7712566982,184040.79640724623,39406.94943811245,51091.647562935344,49942.76853387755,39734.28157836638,180175.64711329172,46697.752904835914,45752.32325131495,48926.40452523896,47547.38153386908,188923.86221525894,49506.08647493635,44970.21877321058,43159.487080194216,40147.424503253205,177783.21683159436,42098.66961362765
"32. Water collection, treatment and supply",3904.388368538532,3688.943541157287,3595.9625427804017,3511.711243313026,14701.005695789245,3969.242651755082,2638.935376569868,4560.073539495369,4739.39492564124,15907.633493461559,2905.5339707970634,3114.6451290963905,3564.5641526340223,3498.6350361991917,13083.378288726664,3233.4922708297618,3618.268677989341,3578.3948514188323,2737.518776971549,13167.675577209488,3051.753664675819
"33. Sewerage, Waste collection, treatment and disposal activities; materials recovery",7345.170722657743,7142.831684821646,7773.990432281438,6991.078742806629,29253.070582567456,7092.315009562597,6837.265178292523,8613.344870822217,6416.95317684867,28959.878235526005,6603.672388799152,6351.325818681729,8530.355432660275,6506.251489901986,27991.600130043138,6801.290065642065,6572.37999228927,8871.224099946669,6842.6282849057125,29087.519442783712,6901.962669657075
34. Construction,323658.6172200427,302859.1704377243,337179.7966049477,276001.9524276664,1239699.537690381,301006.03807966533,231700.0192877179,308069.7967839137,282350.97991508024,1123126.8350663772,309798.2713706524,290107.69677807577,292083.79701968783,280770.8721658918,1172760.636334308,311536.09449532727,243564.94580455276,196410.84656438013,176206.77200659656,927718.6618708568,192364.93863746652
Services,1863872.101918912,1696792.7548820477,1866631.558718796,1879739.4949291556,7307036.048434506,1917377.678146355,1473013.0505019394,1875862.8193582338,1900252.0297489853,7166505.636920266,1999973.514973435,1583741.0959687543,1846925.397428465,1983610.3543282023,7414250.765698858,2035646.4063522667,1554497.2784876833,1768873.2536084095,1906077.9085406142,7265094.835988973,1934824.2331440488
35. Wholesale and retail trade,444180.02474698285,366211.41092836135,428796.84860341414,397563.5456945887,1636751.8309733472,460749.98823238624,354799.0872250089,439110.53793856123,396228.8940402819,1650888.5084362384,473433.21055771224,360150.5499345333,433109.7219701896,408389.5527961744,1675083.0372586097,477457.4445354907,367588.40688853664,420455.12611788814,406868.5422836911,1672369.518825607,472082.6873434595
