<new sheet>
sheet_name: GDP Current
,,,,,,,,,,,,,,,,,,,,,Rs. Million
"19. Manufacture of food, beverages & Tobacco products",254195.6971347297,190402.99782254038,243561.2476057965,216902.0588220312,905062.0013850976,259565.06859187654,193067.41108569418,273749.9822447723,225578.7921073197,951961.2540296628,302507.2889957623,222386.319183703,298489.25113615143,274115.56174349925,1097498.4210591163,370454.855039194,372877.0586105229,514621.1511282562,447088.2033049052,1705041.2680828786,572998.2019062189
"20. Manufacture of textiles, wearing apparel, leather and other related products",258611.42864657842,141318.54892872387,235337.2169123362,104786.62013814259,740053.8146257808,226226.67097451928,90277.97509154056,268817.7709736018,111733.05435842059,697055.4713980823,303864.17553651857,174522.8796929812,339427.3731166517,135343.47014121898,953157.8984873712,335649.35000140395,335515.29000820883,636135.4133296458,210955.05836898144,1518255.1117082401,495375.84726277855
"21. Manufacture of wood and of products of wood and cork, except furniture; manufacture of articles of straw and plaiting material",9692.366677635317,3229.138555599008,6492.5801279008065,10926.303852154982,30340.389213290124,10204.30763946136,2294.999883636159,6061.32500964367,9692.564040223922,28253.196572965113,10344.891837978561,2873.3367045850264,5960.3899806067,9606.559877164185,28785.178400334466,12052.17451601704,2603.150334033612,9088.535079976893,14342.815516080838,38086.67544610839,14640.676553764883
"22. Manufacture of paper & paper products, printing and reproduction of media products",27877.748023074986,15391.625398094788,14043.136665730271,22533.48146093899,79845.99154783902,25876.6749577047,13076.45844754222,14909.481812553404,22691.99407076743,76554.60928856776,28415.142311723183,16991.022424837392,15483.875198319742,23468.17579419202,84358.21572907236,31243.00898745998,26545.5686717275,25481.369619551846,36401.42874388327,119671.37602262257,54290.64166712298
23. Manufacture of coke and refined petroleum products,22397.652668353512,20803.453522784614,16583.188020531583,18645.921391226744,78430.21560289644,19851.38118220422,14323.161205888653,10925.454392789557,15983.69189471834,61083.68867560077,8317.432536556133,26839.094543253334,15875.772753387188,11721.508769654327,62753.808602850986,8971.869260906613,7245.698277544212,18720.116478866374,9452.60496009947,44390.28897741667,38359.47668653251
"24. Manufacture of chemicals and chemical  products, basic pharmaceutical  products and pharmaceutical preparations",24127.133342244586,33125.32834058888,27671.82782603923,31318.552346078504,116242.84185495114,23142.066225537234,29960.064916679774,29877.654809413325,32642.520661444632,115622.30661307494,29104.785151202464,38688.399323628866,38716.64040588525,43045.206715358334,149555.0315960749,36601.02466879345,80886.03204436801,71486.80749419294,58248.98172120838,247222.84592856275,48357.337379910794
25. Manufacture of rubber and plastic products,15964.439453930227,34197.50024550561,29488.58502765076,32651.675855306836,112302.20058239345,15435.631475222073,22412.950699775116,34802.285217789904,33138.011842685824,105788.87923547291,20128.763923810642,41572.741454261544,42343.404230536995,42559.224363772766,146604.13397238197,22523.148933002758,62394.16612338224,58214.64722892422,30898.66482847649,174030.62711378568,33376.799374809845
26. Manufacture of other non- metallic mineral products ,42421.79579767553,42623.68748865237,37900.80005887512,46024.613453203216,168970.89679840615,41504.161197147696,31643.900397595702,35649.267468135105,49209.91360269308,158007.24266557157,47648.99899229898,47120.26467360172,40021.12896717928,66033.258567602,200823.65120068198,68187.36885927067,78927.03766441857,62277.35773769164,80736.47608261308,290128.2403439939,79996.60596408439
27. Manufacture of basic metals and fabricated metal products (except machinery and equipment),23883.286235571046,12653.102712569747,20804.320487462883,30095.14904198719,87435.85847759084,25092.66403872729,8426.525644242243,20838.35241259471,30072.47219695255,84430.0142925168,31291.067639288623,18368.490396581186,25060.198416825224,38922.35860872686,113642.11506142188,35685.08108468611,29353.395815526812,28769.83960590666,49657.904837216585,143466.22134333616,35480.24319145558
28. Manufacture of machinery and equipment i.e..,19409.1032983621,12471.779661752891,18761.998891844956,27627.855313823435,78270.73716578339,21756.318065775013,10653.148174789225,23044.537536307304,31736.106305264395,87190.11008213594,26239.72826464552,17759.51080484407,27445.404038954835,37934.32312185642,109378.96623030087,29478.92275048014,27185.479478672925,48886.853741595165,44894.335341425074,150445.59131217326,36167.64064392032
