<new sheet>
sheet_name: Merchandise Trade
,A SUMMARY OF EXTERNAL TRADE DATA,,,,,,,,,,,,
,,,,,,,,,,,,(values in US$ Mn. ),
,,Exports,,,,Imports ,,,,Trade Balance ,,,

,,Month,Cumulative ,% Month,% Cumul.,Month,Cumulative ,% Month,% Cumul.,Month,Cumulative ,% Month,% Cumul.

,2008-04-01 00:00:00,608.2140579359377,2477.403566916085,14.390614419053339,10.815290231410835,1300.4832040782987,4594.979832117053,34.142411656122576,35.11798683712537,-692.269146142361,-2117.576265200968,58.13165307440444,81.75039424220658
,2008-05-01 00:00:00,743.8113183015591,3221.214885217644,16.722455134731582,12.1255956263856,1233.4509142216448,5828.430746338698,21.60519195287689,32.01355712813883,-489.63959592008564,-2607.2158611210534,29.85723135958873,69.06246519807904
,2008-06-01 00:00:00,652.9925131163194,3874.2073983339637,-2.144267427207891,9.4358060300199,1205.2042105255312,7033.634956864229,40.07766432501156,33.32875788217082,-552.2116974092118,-3159.4275585302653,185.999099571653,82.07408162791052
,2008-07-01 00:00:00,846.2233781562398,4720.430776490203,23.72350670412846,11.749245321103485,1264.0946348933142,8297.729591757543,52.222499128801616,35.898406799441275,-417.8712567370743,-3577.2988152673397,185.30972944265437,90.1094171600831
,2008-08-01 00:00:00,758.4715842455379,5478.902360735741,16.175311809123816,12.341748959295295,1271.5511102487849,9569.280702006328,35.544693383100046,35.85129959434692,-513.079526003247,-4090.378341270587,79.87860468310832,88.76272584515186
,2008-09-01 00:00:00,648.1663782812277,6127.068739016969,-9.900698778204953,9.482579321004202,1238.4171673489298,10807.697869355257,23.060234994177755,34.25231418392902,-590.250789067702,-4680.629130338289,105.69148438327196,90.74237546256252
,2008-10-01 00:00:00,659.8740804512345,6786.942819468203,5.722841105689502,9.105335919950864,1239.6003121533593,12047.298181508617,15.229395108293907,32.00991743539867,-579.7262317021248,-5260.355362040414,28.367997783168054,81.04733845636638
,2008-11-01 00:00:00,643.7034392363593,7430.646258704563,11.386679201136939,9.299260942887155,989.0434339374216,13036.34161544604,-2.0003061239358355,28.62331590244733,-345.3399947010623,-5605.695356741477,-19.93625586133483,67.99387487083679
,2008-12-01 00:00:00,679.949763787516,8110.596022492078,-19.200959386418916,6.16000306584501,1054.8338038771594,14091.1754193232,-9.158949059326716,24.739603896125594,-374.88404008964346,-5980.579396831121,17.277964798824307,63.56024687269992
,2009-01-01 00:00:00,491.12250528325586,491.12,-11.040523397269164,-11.040977191759914,682.61,682.61,-41.98298280448742,-41.98298280448742,-191.48749471674415,-191.49,-69.33718497873133,-69.33678380873764
,2009-02-01 00:00:00,524.2484802781544,1015.3684802781544,-17.979078178125285,-14.763645486409482,606.31,1288.92,-37.45631464165571,-39.93812630883327,-82.06151972184557,-273.5515197218457,-75.15200379813602,-71.34830892794409
,2009-03-01 00:00:00,632.0015886956218,1647.3700689737761,-6.777656607753602,-11.867145569814275,1023.56,2312.48,-10.879284510941044,-29.807789744904312,-391.5584113043782,-665.1099310262239,-16.78864455860897,-53.33567607060588
,2009-04-01 00:00:00,437.6225719222221,2084.992640895998,-28.047935391799793,-15.83960446575794,620.65,2933.13,-52.27543131248067,-36.16664039527211,-183.02742807777787,-848.1373591040019,-73.56123278096531,-59.94773019315507
,2009-05-01 00:00:00,538.4531361060348,2623.445777002033,-27.608907950533123,-18.557256486017458,773.37,3706.5,-37.30030185367965,-36.406553302047065,-234.91686389396523,-1083.054222997967,-52.02249453446854,-58.45935738775867
,2009-06-01 00:00:00,565.210780767491,3188.656557769524,-13.442992160798573,-17.695254024326346,845.1,4551.6,-29.879103257406236,-35.28808321850673,-279.88921923250905,-1362.9434422304762,-49.314869542667516,-56.86106369014189
,2009-07-01 00:00:00,652.2373263642176,3840.8938841337417,-22.923740563003715,-18.63255567133698,939.28,5490.88,-25.69543655414118,-33.826718028335065,-287.0426736357824,-1649.9861158662584,-31.308347006889147,-53.87620098090824
,2009-08-01 00:00:00,710.3629375690552,4551.2568217027965,-6.3428410075951565,-16.931229614180875,842.09,6332.97,-33.77458497635685,-33.81979066961419,-131.72706243094478,-1781.7131782972037,-74.32619004366369,-56.44135995146715
,2009-09-01 00:00:00,568.2329505461227,5119.4897722489195,-12.332239130802824,-16.4447145884266,803.63,7136.6,-35.10829620358666,-33.9674361157383,-235.39704945387734,-2017.1102277510809,-60.11914701110596,-56.905147329942466
,2009-10-01 00:00:00,628.660979308094,5748.150751557014,-4.730160202958167,-15.305743624823776,1042.96,8179.56,-15.863202858651071,-32.10461070387718,-414.299020691906,-2431.4092484429866,-28.535402050811232,-53.77861225900376
,2009-11-01 00:00:00,612.990058066526,6361.14080962354,-4.771355766914853,-14.393168667236178,934.72,9114.28,-5.492522580242786,-30.085600171746073,-321.72994193347404,-2753.1391903764606,-6.836755988261922,-50.88674972203935
,2009-12-01 00:00:00,723.3783494852621,7084.519159108802,6.387028573381137,-12.651066093512586,1092.37,10206.650000000001,3.558493857977618,-27.567078712229755,-368.9916505147378,-3122.130840891199,-1.5717899256251777,-47.79551221165133
,2010-01-01 00:00:00,656.4771475651874,656.4771475651874,33.66871615597476,33.66939802190654,1237.6522649867331,1237.6522649867331,81.31176879722435,81.31176879722435,-581.1751174215458,-581.1751174215458,203.5055204420753,203.5015496483084
,2010-02-01 00:00:00,683.0335766681674,1339.5107242333547,30.288136706808434,31.92360706985935,973.4400220879818,2211.092287074715,60.55153668717024,71.54612288386515,-290.4064454198144,-871.5815628413602,253.88870009252997,218.61696974946696
,2010-03-01 00:00:00,755.9409231632552,2095.45164739661,19.610604891584195,27.199813014811227,976.4628079926937,3187.5550950674087,-4.601312283335246,37.841412469184974,-220.52188482943848,-1092.1034476707987,-43.68097365222589,64.19893866052337
,2010-04-01 00:00:00,495.51039563556634,2590.9620430321766,13.227796605434804,24.267203260666893,1001.9664997435898,4189.521594810998,61.43825018022877,42.83450085100211,-506.45610410802345,-1598.5595517788215,176.710496031668,88.47885128743631
,2010-05-01 00:00:00,558.6548361540848,3149.6168791862615,3.751802839174445,20.056488561601427,1050.561493653169,5240.083088464167,35.84202822105447,41.375504882346334,-491.9066574990842,-2090.466209277906,109.39606009771903,93.01584028649599
,2010-06-01 00:00:00,624.4979662227058,3774.114845408967,10.48939395223667,18.360656816831124,1113.6133375678796,6353.696426032047,31.77296622504788,39.59259218806677,-489.1153713451738,-2579.5815806230803,74.75320152965834,89.26548972579218
,2010-07-01 00:00:00,879.2830567824942,4653.397902191461,34.81029392842376,21.154034518216534,1123.5445207668051,7477.240946798853,19.617634865727496,36.17563936561812,-244.26146398431092,-2823.8430446073917,-14.904128751864597,71.14344281162919
,2010-08-01 00:00:00,803.0986356591901,5456.496537850651,13.054692634653374,19.889884302533623,1103.5185693013718,8580.759516100225,31.04520529888395,35.49344961527095,-300.4199336421817,-3124.2629782495733,128.06242551690602,75.35162316279515
,2010-09-01 00:00:00,713.590895198686,6170.087433049337,25.580696176253316,20.52153061219819,1090.3121786553152,9671.07169475554,35.673404260084276,35.513713739813625,-376.7212834566292,-3500.9842617062022,60.03653585744806,73.56435030372754
,2010-10-01 00:00:00,932.4533918349485,7102.540824884286,48.32372654355122,23.562187769003895,1238.1561552583523,10909.227850013891,18.715593623758565,33.371817677404294,-305.7027634234038,-3806.687025129605,-26.212047783057624,56.56299027271168
,2010-11-01 00:00:00,792.4314493061487,7894.972274190434,29.273132390696688,24.11252180185064,1112.990994749606,12022.218844763496,19.072127990158116,31.90530513396006,-320.5595454434573,-4127.246570573062,-0.3637822712375227,49.91056699929173
,2010-12-01 00:00:00,730.8555624837272,8625.827836674162,1.0336517541319479,21.756009729801452,1428.7200782807124,13450.938923044208,30.79085642050885,31.786030901855234,-697.8645157969852,-4825.111086370047,89.12745446230956,54.54544771713472
,2011-01-01 00:00:00,922.9892620840501,922.9892620840501,40.59731789710143,40.59731789710143,1567.907689902411,1567.907689902411,26.68402379720267,26.68402379720267,-644.9184278183609,-644.9184278183609,10.968004046632295,10.968004046632295
,2011-02-01 00:00:00,816.9552807742292,1739.9445428582794,19.60689908676685,29.894036037233374,1235.8634703714733,2803.7711602738846,26.958358227413527,26.80480035427586,-418.90818959724413,-1063.8266174156051,44.24892980307868,22.05703548243094
,2011-03-01 00:00:00,930.7750196394119,2670.719562497691,23.128010552009638,27.453170576175978,1634.1256642064143,4437.896824480299,67.35155203357644,39.22572919124552,-703.3506445670024,-1767.177261982608,218.9482282500013,61.8140905746231
,2011-04-01 00:00:00,748.6356820692486,3419.3552445669397,51.083748931041306,31.972417494982032,1490.3264231450498,5928.223247625348,48.74014485778064,41.501198011912585,-741.6907410758013,-2508.8680030584087,46.44719158476249,56.9455451482322
,2011-05-01 00:00:00,836.1273694186206,4255.48261398556,49.66797301437931,35.1111191366555,1683.2261787866203,7611.4494264119685,60.22157569600759,45.25436520593098,-847.0988093679997,-3355.966812426408,72.20722599583374,60.53676436059852
,2011-06-01 00:00:00,820.4107865890929,5075.893400574653,31.371250342314404,34.49228782079163,1668.6477921008616,9280.09721851283,49.840859103319616,46.05824068790696,-848.2370055117686,-4204.203817938177,73.42268413665516,62.98006814433372
,2011-07-01 00:00:00,962.1221847896372,6038.01558536429,9.421212812887703,29.754981462487006,1769.8102606359478,11049.907479148778,57.520260917482325,47.78054576239717,-807.6880758463105,-5011.891893784488,230.66537089869766,77.484789863075
,2011-08-01 00:00:00,954.1527477935655,6992.168333157855,18.808911561702367,28.143915874491054,1837.0495435101775,12886.957022658957,66.47201004267629,50.18433972516001,-882.896795716612,-5894.7886895011015,193.88755433525776,88.67773713478392
,2011-09-01 00:00:00,858.3745695451406,7850.542902702996,20.289450905359764,27.235521180016022,1762.6380317538221,14649.595054412779,61.66361031825658,51.47850741668072,-904.2634622086815,-6799.052151709783,140.03514054516825,94.20401931187973
,2011-10-01 00:00:00,889.1348762817661,8739.677778984762,-4.64564941609974,23.050018218334543,1756.9878809580116,16406.582935370792,41.90357763002845,50.391789051778765,-867.8530046762455,-7666.90515638603,183.88785072062092,101.40623869977854
,2011-11-01 00:00:00,885.7604342675563,9625.438213252319,11.777546820374972,21.91858158538409,1986.4073019166487,18392.990237287442,78.47469667654757,52.99164384533606,-1100.6468676490924,-8767.552024035123,243.3517682733403,112.43102087835189
,2011-12-01 00:00:00,933.3820328161256,10558.820246068444,27.710874860709247,22.409355322115744,1875.8120707711691,20268.80230805861,31.29318326851518,50.68689571799339,-942.4300379550435,-9709.982061990166,35.04484274841746,101.23851841295179
,2012-01-01 00:00:00,888.1768344193363,888.1768344193363,-3.7717045143200956,-3.7717045143200956,1915.0033496667759,1915.0033496667759,22.137506053431544,22.137506053431544,-1026.8265152474396,-1026.8265152474396,59.21804540785147,59.21804540785147
,2012-02-01 00:00:00,821.0083740706526,1709.1852084899888,0.4961218063958439,-1.767834181528627,1580.669756343379,3495.6731060101547,27.900030564724474,24.677546995978172,-759.6613822727264,-1786.487897520166,81.34316805863754,67.93036273713
,2012-03-01 00:00:00,860.9534070468783,2570.1386155368673,-7.5014489129266675,-3.7660617150967135,1853.572430961998,5349.245536972153,13.429001915966744,20.535599373664514,-992.6190239151197,-2779.1069214352856,41.127193325627374,57.26248754000982
,2012-04-01 00:00:00,747.8077199412343,3317.9463354781014,-0.11059613478825447,-2.9657318949228295,1440.3974471538768,6789.64298412603,-3.350204036898674,14.53082484445467,-692.5897272126425,-3471.696648647928,-6.62014653060643,38.377014829628074
,2012-05-01 00:00:00,805.9587920660201,4123.905127544122,-3.608131781833357,-3.0919521562375096,1575.0258405028171,8364.668824628847,-6.428152059861681,9.895873387835753,-769.067048436797,-4240.763697084725,-9.211648047223719,26.364887798714463
