<new sheet>
sheet_name: 4.02
,,Monetary Aggregates,,,Broad Money (M2b) - Use Side,,,,,,Broad Money (M2b) - Source Side,,,,,,,,,,,
,,,Rs. Million,,,,,,Rs. Million,,,,,,,,,,,,,Rs. Million
,,Reserve Money (M0)  (a),Broad Money (M2) (b),,Currency held by the Public,Demand Deposits held by the Public,"Narrow Money (M1) 
(c)    
 (1) + (2)",Time and Savings Deposits held by the Public,"Broad Money (M2b) 
(d)            
 (3) + (4)",,Net Foreign Assets of Monetary Authorities (e),Net Foreign Assets of Commercial Banks ,"Net Foreign Assets (NFA) 
(5) + (6)",Net Credit granted to the Government by Central Bank,Net Credit granted to the Government by Commercial Banks,"Net Credit granted to the Government (NCG)
(8) + (9)",Credit granted to Public Corporations by Commercial Banks,Credit granted to the Private Sector by Commercial Banks ,"Domestic Credit 
(10) + (11) + (12)",Other Items (net) ,"Net Domestic Assets  (NDA)       
 (13) + (14)","Broad Money (M2b)
 (7) + (15)"
,,,,,-1,-2,-3,-4,,,-5,-6,-7,-8,-9,-10,-11,-12,-13,-14,-15,
,2003-09-01 00:00:00,134600,555818,,78327.358627,77359.65669224001,155687.01531924,523206.2626039472,678893.2779231872,,161690,-13606.844542737002,148083.155457263,34611,131892.9930240202,166503.9930240202,39845.323242,487885.008688644,694234.3249546641,-163424.24618540597,530810.0787692581,678893.2342265211
,2003-10-01 00:00:00,137727,557139,,79562.151397,72155.07153024,151717.22292724,535142.4380645951,686859.6609918352,,162534,-8102.376829229615,154431.62317077038,35471,130129.1015330159,165600.1015330159,38235.832588,494328.0241407592,698163.9582617751,-165735.92044104042,532428.0378207347,686859.660991505
,2003-11-01 00:00:00,140990,568711,,82326.412417,75093.49139724001,157419.90381424,542814.1683041457,700234.0721183857,,160388,-1490.249326060788,158897.7506739392,42786,125477.40869566254,168263.40869566254,40118.599564000004,506758.6769729616,715140.6852326242,-173803.40863559238,541337.2765970319,700235.0272709711
,2003-12-01 00:00:00,141447,580747,,85601.302916,76034.07956124001,161635.38247724,556219.449014263,717854.8314915029,,164596,2497.493809025793,167093.4938090258,42149,134086.84590650076,176235.84590650076,36192.174575,519444.11548877705,731872.1359702778,-181111.79829104056,550760.3376792372,717853.8314882631
,2004-01-01 00:00:00,145881,588054,,85918.817814,77208.58931724001,163127.40713124,561172.9239362399,724300.3310674799,,164772.8,8650.312150072,173423.112150072,48862.3,137576.8422213159,186439.14222131588,30332.809345,518790.13085290196,735562.0824192178,-184684.76350005,550877.3189191679,724300.4310692399
,2004-02-01 00:00:00,146768,594925,,89529.327798,77046.94899824001,166576.27679624,568526.93314139,735103.20993763,,167214,18488.548341367707,185702.5483413677,51910,121335.45400351172,173245.45400351172,33445.852866,529599.5909894316,736290.8978589433,-186891.24634402094,549399.6515149224,735102.1998562901
,2004-03-01 00:00:00,158659,606390,,94956.634792,76932.80348624001,171889.43827824,574195.2627711125,746084.7010493525,,160956.40000000002,19325.671951871605,180282.07195187162,67425,121248.66724927533,188673.6672492753,34194.204752,534138.7240715954,757006.5960728707,-191202.50025370438,565804.0958191663,746086.1677710379
,2004-04-01 00:00:00,153084,608238,,91176.757495,78317.18816724,169493.94566224,579816.522863159,749310.468525399,,152275,20817.549640283607,173092.5496402836,66867,120932.75656246723,187799.75656246723,38255.419927,541587.4009468101,767642.5774362774,-191424.65955440194,576217.9178818755,749310.4675221591
,2004-05-01 00:00:00,152185,613308,,90098.129715,81747.565165,171845.69488000002,583149.3158723391,754995.0107523391,,151131,20182.90372547139,171313.9037254714,69447,125494.65169707662,194941.65169707662,39905.223216,546327.7556421501,781174.6305552267,-197493.52352336753,583681.1070318592,754995.0107573306
,2004-06-01 00:00:00,151130,615485,,90670.27577000001,79100.38603524001,169770.66180524003,590024.1946689301,759794.8564741702,,152011,12247.361601399607,164258.3616013996,70726,119055.81172495594,189781.81172495594,38489.83404,563115.9603140036,791387.6060789595,-195851.06702403442,595536.5390549251,759794.9006563247
,2004-07-01 00:00:00,156319,624525,,92769.121343,79148.67915724001,171917.80050024,604925.066484286,776842.8669845259,,150587,18136.780523452493,168723.7805234525,80303,120015.18275537755,200318.18275537755,40957.620379,569491.925563,810767.7286973776,-202648.66170193456,608119.0669954431,776842.8475188955
,2004-08-01 00:00:00,155850,632862,,93058.896855,80399.85061824,173458.74747324002,612561.8532536679,786020.600726908,,149240.9,14105.206047700383,163346.1060477004,81676.40000000001,121885.63897128358,203562.0389712836,41566.050395,578149.6244224373,823277.7137887209,-200602.81910875317,622674.8946799678,786021.0007276682
,2004-09-01 00:00:00,158241,645181,,93625.789458,84432.36355224,178058.15301024,623529.8884263582,801588.0414365982,,151413,15467.251403319111,166880.25140331913,84402,128885.47196293026,213287.47196293026,38999.219119,590171.1618188205,842457.8529007507,-207751.06286771153,634706.7900330392,801587.0414363584
,2004-10-01 00:00:00,161806,656918,,95331.825364,80495.78418224001,175827.60954624,637746.0456315943,813573.6551778342,,145019.6,10481.753069162798,155501.3530691628,98274,117707.75507596899,215981.75507596898,39400.874390000004,602623.5486119352,858006.1780779043,-199933.248369038,658072.9297088663,813574.2827780291
,2004-11-01 00:00:00,163922,672063,,93898.777577,87861.808393,181760.58597000001,652921.3918782702,834681.9778482702,,143108,20376.570824456787,163484.57082445678,107233.9,118017.08073152606,225250.98073152604,39697.0426,622659.76321619,887607.786547716,-216410.23627038795,671197.5502773281,834682.1211017849
,2004-12-01 00:00:00,170967,687964,,99669.395664,88783.944578,188453.340242,670191.1300374862,858644.4702794862,,151694.3,18523.476247629987,170217.77624762998,108144,112317.79914213621,220461.7991421362,41170.691337,634309.79918966,895942.2896687962,-207515.29563693996,688426.9940318563,858644.7702794863
,2005-01-01 00:00:00,174648,701947,,100251.074896,98468.081746,198719.15664200002,668666.0479983243,867385.2046403242,,143077,26392.463201210696,169469.4632012107,104854,102416.67076954339,207270.6707695434,34967.893098,634867.0532889606,877105.617156504,-179188.89573560862,697916.7214208953,867386.184622106
