<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Assets,2159957.508,2230945.36,2269424.1040000003,2259914.151,2321764.378,2374719.0733408597,2450638.35542515,2506584.7653213,2558992.437582925,2639005.334,2808462.811,2974559.452,3094940.057,3255609.5689999997,3387629.9320000005,3578497.0370000005,3910810.022,4124546.455,4207386.703,4355687.760000001,4599039.9229999995,4734519.587,4901853.429,5022147.427000001,5143121.26,5292556.927999998,5554538.268,5884360.682000001,6066113.172999999,6202390.444,6533824.910999999,6974300.1,7233749.029999999,7311553.608,7536495.171999998,7843338.3270000005,8268278.134,8486466.647999998,8711739.494,8926191.513,9268623.143000001,9402636.932999998,9893396.836999997,10372406.844,10288579.916,10418657.193,10649345.007,10944007.243,11537556.592,11689231.099,12278185.309999999,12828818.733,13396572.896000002,13874766.818000002,14434073.058,14820544.863999998
Cash and Due From Banks,330767.165,358585.764,314899.51,284122.897,299914.176,325998.13899999997,366415.64300000004,386952.51399999997,330878.092,289305.194,349572.49600000004,375933.56,396631.20399999997,373663.983,387757.225,426831.92899999995,450843.241,487376.97599999997,487592.693,501674.858,578458.1900000001,515277.837,527631.3,532291.5549999999,615634.124,716614.5989999999,812476.329,868474.306,743489.9149999999,596983.132,612428.4450000001,737394.913,711634.848,717076.883,804264.56,903732.423,866321.271,828044.24,893237.517,923875.0149999999,925291.5360000001,866845.853,980712.71,973729.2860000001,1008797.1299999999,961869.704,927604.1710000001,934469.9029999999,1003837.226,878946.921,863472.132,954641.663,923449.99,983234.645,1184750.773,1100023.337
Investments,378102.392,384168.46900000004,464760.81200000003,467775.72299999994,520544.668,575737.311,621250.537,667337.719,724785.797,759512.923,795242.5179999999,780125.5549999999,799565.8289999999,822311.5630000001,815657.173,735953.568,825956.3770000001,862328.2779999999,846943.077,888087.641,966422.365,1122801.7999999998,1221194.0489999999,1242059.443,1332122.962,1371460.67,1387576.5570000003,1413523.629,1561855.911,1724856.19,1785673.83,1833199.6239999998,1917699.035,1891550.562,1870055.0909999998,1755926.239,1938814.843,1997729.306,2036185.059,2008037.61,2054259.1860000005,2040630.286,2101127.654,2154370.4979999997,2101703.728,2306832.5220000003,2355114.2220000005,2395947.4539999994,2509467.6960000005,2686660.038,3029353.146,3382534.273,3472498.1119999997,3551066.391,3580410.759,3943508.0919999997
Investments - Held for Trading,93864.59599999999,90902.697,147857.87399999998,134012.464,153476.894,174800.50000000003,198422.088,202419.776,215513.77899999998,256180.47,298699.46499999997,283848.17799999996,306055.181,307910.326,314602.169,254913.801,287042.319,275092.69200000004,265662.259,291745.72000000003,278504.339,357630.566,412178.419,444475.984,457665.5,397859.061,382999.13800000004,385284.799,462418.135,548041.727,502739.169,484292.644,498233.33900000004,493754.8679999999,515596.015,437191.208,542882.972,633569.435,646400.6680000001,633387.8640000001,620353.83,629023.723,648943.147,593363.213,625055.276,616547.7139999999,625653.4890000001,558377.507,633153.467,648287.287,741026.608,732451.466,651550.469,668925.436,613088.085,568049.2039999999
Investments - Held to Maturity,271484.864,281131.343,303713.02,320028.946,352618.609,386477.098,408264.256,450417.57000000007,493164.698,487704.501,480548.404,479909.9550000001,476618.369,496905.04099999997,483788.42999999993,462308.3,520214.07300000003,568620.401,562046.584,577286.98,669656.7760000001,747056.767,790871.284,779491.03,856245.4230000001,955478.075,985005.389,1008693,1079840.272,1157275.5960000001,1263033.59,1328843.526,1399142.8839999998,1377440.7640000002,1333082.987,1298095.1760000002,1375279.6810000003,1343422.3090000001,1369507.8800000001,1353261.478,1412221.504,1388699.013,1429115.77,1536911.404,1452454.191,1666092.3269999998,1704447.1980000003,1812164.4140000003,1850894.677,2012767.086,2263745.075,2622945.7380000004,2793777.631,2855447.543,2939289.605,3344059.8970000003
"Investments in Subsidiaries, Associates and Joint ventures",12752.932,12134.429,13189.918,13734.312999999998,14449.165,14459.713,14564.193,14500.373,16107.32,15627.952000000001,15994.649,16367.421999999999,16892.279,17496.196,17266.574,18731.467,18699.985,18615.184999999998,19234.233999999997,19054.941,18261.25,18114.467,18144.345999999998,18092.429,18212.039,18123.534,19572.03,19545.83,19597.504,19538.867,19901.070999999996,20063.453999999998,20322.811999999998,20354.93,21376.089,20639.855,20652.19,20737.561999999998,20276.511,21388.268000000004,21683.852,22907.550000000003,23068.737,24095.881,24194.261000000002,24192.481000000003,25013.535000000003,25405.533000000003,25419.552000000003,25605.665,24581.463,27137.068999999996,27170.011999999995,26693.411999999997,28033.068999999996,31398.991
Net Loans and Advances (a),1329260.0458107998,1381436.5245800002,1365509.6777453,1399026.3394838,1385268.9439971999,1354065.9807260998,1340728.0990649501,1341090.7304499,1390979.6078835248,1470894.1733338002,1537849.1024306002,1708361.268648,1783880.7780116997,1931275.1487655,2054005.952864,2278467.2255919,2458311.5304868002,2583200.2562999995,2675168.799722,2774486.8280488,2855854.0549072004,2879586.4538797997,2913876.7993877,3008839.224781,2974913.4965472,2976461.6557626002,3138292.2008320005,3377935.2857819996,3545859.2424,3647516.0571,3898041.6210111086,4168804.808514,4370849.812899999,4465897.6235,4602765.8255933,4912486.1552,5186780.4515619995,5374625.468719999,5480832.295352001,5687493.194264799,5959281.968645001,6154776.485236399,6451002.4861907,6840910.103638799,6787109.814612609,6751389.201816,6937947.588193601,7179064.352583999,7565953.165867601,7614542.938935601,7896711.942846401,8035353.524598801,8535947.0000847,8845288.9672096,9154103.4545359,9226033.147351867
Gross Loans and Advances(b),1379412.5508108002,1433399.6605800001,1418841.0767453,1456603.1864837997,1444480.6789972002,1416279.6987261001,1401736.1360649497,1406978.6554498998,1457490.165883525,1528961.3223338,1595568.0074306,1764189.254648,1838522.4340116999,1984431.3027655,2106147.483864,2329119.3665919,2511095.6194868,2637818.7332999995,2730685.0637220005,2830681.5580487996,2912648.8149071997,2942623.2258798005,2982474.2313876995,3079441.3997810003,3047938.0105471998,3047549.2767626,3210468.1938320003,3453874.827782,3623493.7034,3728107.6770999995,3982441.615011108,4258329.5165140005,4459170.1119,4555488.1095,4692591.9405933,5007521.6162,5283654.210562,5475697.34172,5586161.603352,5791213.7102648,6068948.082645,6273771.297236398,6578161.6211907,6980883.055638799,6933243.87561261,6915539.8008159995,7109283.840193599,7362382.644583999,7766499.083867601,7846745.131935601,8140572.0408464,8289515.813598801,8807465.702084702,9132946.1462096,9461525.465535898,9554498.332351865
o/w Gross LKR Loans(c),1036024.422,1063814.9640000002,1101564.883,1133860.337,1148465.851,1146519.7640000002,1133607.6979999999,1131045.766,1159923.814,1237867.888,1299622.164,1426290.682,1488256.127,1599774.745,1723929.541,1880447.054,2011283.2600000002,2074905.8640000003,2174288.465,2274501.911,2321866.716,2348511.328,2378901.913,2462603.96,2440269.601,2406723.989,2517740.7909999997,2651387.5500000003,2797608.58,2889247.227,3106149.048022,3336384.207,3538287.825,3649001.6280000005,3789555.1659999997,4022446.8279999997,4221195.615,4351265.438,4472655.431,4642029.558000001,4826344.055,4987870.221,5195352.578,5463710.302999999,5470182.17,5428968.864,5539319.461,5738892.892,5907621.509,6018362.125,6325680.073,6494907.108999999,6926637.994,7204042.435,7552241.977000001,7648515.312
