<new sheet>
sheet_name: Assets

Banking Industry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Assets, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Special Mentioned,21.89633501489613,26.47999167198598,22.981873217792643,33.826104696139886,25.884858523739368,25.351919790985583,20.135163155540976,17.671018353370872,25.100376987346895,18.063481751745897,16.879070926856084,14.953620386884777,18.280356817518108,18.046541083063357,15.424262573548392,11.675347795865726,14.573482661769477,13.852818445974622,15.26321304025124,13.985636566997306,18.469257073856514,16.511121049746603,16.631718761900043,13.782572061987612,16.144526879471734,17.322439176463785,15.253767820511216,12.688465072613479,15.37718458211087,13.997220963471296,12.886881315147669,11.479276559739306,12.879676283595087,13.282275540366228,14.949934750332933,14.042061796548017,15.855264007920383,16.321355525916296,15.608421606200112,13.805588651905035,22.19512423028616,21.734710413684763,21.854637527256404,18.257650758759482,24.28888488238733,21.179908813113578,17.176790998035287,14.335869574640176,16.63527274123442,11.48337836198655,10.007505583046033,9.170843400593242,8.588774517746753,11.841324936379259,11.255059640800173,8.386016872797546
Substrandard,10.08119884408269,11.073507148972856,15.074342613454814,12.323625724408755,13.75999588019885,17.088995552461185,21.315239949820167,18.721158988286195,11.220368312230217,11.19639829512303,11.447225702566797,9.551843209388249,8.945459830421596,9.093458980164701,7.404710101359292,6.60136083557857,7.824013646759279,7.47250394034619,7.042530428873227,7.6813541716419325,7.854764656570386,9.244294412712804,10.191803661022298,13.213099226473707,10.585283404998288,11.438475819492917,12.54918074885279,10.117168870447573,8.747995915409316,9.234666394675445,9.574446437020177,8.374418377478717,7.637366338066603,7.944857435367919,6.962932482922319,7.6981359810641745,8.709001609960767,10.359563296157994,12.440105315385294,11.116916212506354,10.583318082458385,15.527818258983004,17.750183753774706,17.62580774955787,17.07942822436391,21.261835684803216,21.47571835271913,17.478662572854333,14.448460899132797,18.4428941781583,15.453712603349953,8.698894153358108,7.664030289416616,7.086584955569962,7.247755282247624,7.875757273171138
Doubtful,10.579001882505471,8.893318697648791,8.64378391620728,8.006327130784584,10.321051539299964,10.294422083694165,10.373478714019829,13.316228223652733,15.780210503231048,12.745473192155243,12.474213680888438,8.469334579371127,6.166960312773767,6.648302605902128,3.638843270865174,5.991448905488579,5.78436715735077,5.351745999441914,4.841080825148443,5.194343189740236,4.396123154408894,5.985195757216495,4.847120638857155,6.829444967160487,7.282867241936832,7.248842962034484,6.32524932899357,6.788308399197381,6.613719289399868,5.6894495623985675,5.590660974993686,6.748718492023842,7.2097168402557035,5.369240167355693,4.683754434019778,4.771580761638112,4.158577729014725,5.108618809365585,4.913463065727967,6.1375659220412,6.755129199188262,6.593631456753352,8.503276116141464,10.10273248858912,11.749207225585637,12.303569780859354,13.50311441808692,15.711473019138417,16.11665701618157,13.867272208959527,12.957148867824708,14.761450019377262,11.92678230814264,7.429724810966771,7.5115456010209485,7.1876379347079915
Loss,57.44346425851571,53.553084359551576,53.30000025254527,45.84385991375351,50.0340940567618,47.264662572859066,48.176118180619035,50.291594434690204,47.89904419719185,57.99464676097582,59.19948968968869,67.02520182435585,66.60722381974895,66.21169655046072,73.53218270988786,75.73184246306714,71.81813917394062,73.32293097181773,72.85317448716432,73.13866669906523,69.27985568027843,68.2593192667988,68.3293569382205,66.17488374437819,65.98732247359315,63.990242042008816,65.87180210164242,70.40605765774156,69.26110021307996,71.0786621588403,71.94801127283846,73.39758657075814,72.2732405380826,73.40362685691015,73.40337833272498,73.4882214607497,71.27701479419376,68.21046326634243,67.03801001268663,68.93992921354742,60.466428488067194,56.143840920181965,51.891903833620766,54.01380900309353,46.88247966766313,45.25468525961805,47.844376231158655,52.47399483336708,52.799609343451216,56.20642176876375,61.58163312173555,67.36881242667138,71.820412884694,73.642365297084,73.98563947593126,76.55062207081103


Licensed Specialised Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Classification of NPLs, %",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Special Mentioned,32.38964992653033,10.869392928654092,34.577897552610864,30.517195139670346,30.20595340433731,29.88604286687303,26.255097094494552,18.9595982342619,27.01567351668503,26.35248469259276,22.11585604021062,19.808171263824462,22.86441273542697,28.74740106615676,27.6808643351073,22.88235741915271,30.90221112872222,29.725214428329437,26.768674684770698,25.060488828939203,31.911750296681312,45.98888377564635,42.106832238310005,34.959405130899725,42.77892115971425,40.08514072936483,29.357030891769913,21.257336448266848,31.030852874700944,29.134630236335735,19.870702116262446,19.150630264165862,33.73841281853769,36.134827802544585,25.76888892093421,22.642622263616122,27.76561604978916,30.81610909510474,30.906455396959693,25.269840218447325,35.48921668425966,34.578508779899146,30.037054120965696,22.85660909917285,27.972317965329026,28.867377739237604,27.387444579201613,18.98573815904695,24.358863693513598,25.042446287669218,27.565175670412355,19.16087169028036,22.88010047467159,39.33450337882335,23.37047676418854,13.779034057882356
Substrandard,21.02103759779841,11.07371824310671,38.76367097918505,39.37394753146711,36.67881828830307,21.639454331290313,28.992999838192507,41.01907205304178,14.824034125710286,16.478751741606956,32.953819227568374,15.865304077765838,13.280914161500359,13.885775439658609,31.994399970629605,17.70382823798366,11.236160359347425,30.363344349685374,36.23867205378305,20.81963809534053,14.160774682729349,27.072098378840447,33.66069143104753,26.363308935110314,20.588083791633835,32.30521048092457,42.25429321185597,33.49715746362211,17.93977191486988,24.356612759283156,30.82133972645752,23.218468201196313,13.640817270369821,27.070353288283062,39.456699775911716,25.145012958350215,15.702387939259044,28.320359159631025,30.377125443144052,21.982504155095228,15.95618936342521,29.00178425843789,33.441405798581926,24.079142042730574,18.160459086424737,28.08192605473826,30.37319730211309,21.00695653710202,15.968729079570778,23.276416332386756,24.164745364260657,18.835716410615454,12.928968819282519,18.169269162598482,26.287625802493693,20.92132521609212
Doubtful,25.90557865052708,22.021209314043233,7.205764720366351,9.489455236457163,12.314489172573474,10.241511103425065,11.022841393195177,11.218745680017985,29.32937026109737,12.778654934836235,7.315438123291722,27.82028019599283,30.06273395045616,9.061000332028843,6.967101635285711,24.72484115011606,23.499040290116035,4.975869795505914,3.995302076198003,22.937386748957874,26.733636973627302,3.8392574584519368,3.749240267696358,17.466751564692338,18.647255049951635,9.8219957271369,10.386609448110908,23.009088017592777,27.213246224088465,15.13657204683618,9.052998098604574,22.10140640210618,24.945879187294377,6.044488514820291,4.915415959386616,21.786518825414568,29.659645713493703,11.571820254783782,10.748485249843682,24.985030096808757,23.749342904252963,10.967863730657385,10.535270782314361,25.04436359851743,27.220950506929718,14.871661605142222,13.299585321939123,26.197776941081646,27.488098784566606,17.203968281604045,14.390939856620905,22.232636264032255,23.983099861845005,9.592395797484453,12.028601075736894,20.935548982516654
Loss,20.68373382514418,56.03567951419597,19.452666747837736,20.619402092405377,20.80073913478615,38.232991698411595,33.72906167411776,28.80258403267833,28.83092209650731,44.39010863096405,37.61488660892929,36.506244462416866,33.79193915261651,48.30582316215579,33.35763405897738,34.68897319274757,34.36258822181431,34.93557142647927,32.99735118524825,31.182486326762387,27.19383804696204,23.099760387061266,20.48323606294611,21.210534369297626,17.985739998700282,17.7876530625737,18.002066448263204,22.236418070518262,23.816128986340708,31.37218495754493,40.25496005867546,35.52949513253164,27.67489072379811,30.75033039435206,29.858995343767457,30.425845952619095,26.87235029745809,29.291711490480456,27.967933910052572,27.762625529648687,24.805251048062164,25.451843231005572,25.986269298138016,28.01988525957914,26.64627244131652,28.17903460088192,28.939772796746173,33.809528362769385,32.18430844234902,34.47716909833998,33.87913910870608,39.77077563507193,40.207830844200885,32.90383166109371,38.313296357580874,44.364091743508865

* Provisional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

<new sheet>
sheet_name: Liabilities & Capital

Banking Sector ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liabilities, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Liabilities including Equity,2573678.013,2653005.3619999997,2703013.018,2697449.701,2775654.943,2843717.6153408596,2941202.40942515,3013256.4103213,3081768.3425829248,3179906.477,3361673.456,3550515.442,3687701.3,3864989.863,4014786.832,4252233.686,4586175.66,4819946.361,4916214.648,5098219.34,5370074.448,5522043.493,5795331.034,5941472.709,6086503.617,6256997.344,6577256.095,6971832.407,7170011.626,7347375.997,7706380.905,8077474.111,8354274.486,8451555.318,8703147.365,9046583.446,9492621.6,9765393.69,10041263.591,10292397.388,10675171.422,10847443.593,11273123.178,11793991.691,11741615.648,11901511.341,12154683.052,12522707.253,13166246.249,13368487.148,14027965.304,14666263.666,15329698.32,15857282.914,16494020.265,16923563.757
Deposits,1746480.83,1806110.4060000002,1838719.758,1878231.2470000004,1951620.543,2047106.5299999998,2162645.4469999997,2231575.241,2269957.354,2326395.862,2432411.3630000004,2586031.5760000004,2668258.0960000004,2785432.8479999998,2906662.0700000003,3072543.865,3244905.1950000003,3360729.393,3466384.3200000003,3625373.9639999997,3769130.9289999995,3882774.3770000003,4028405.26,4169520.12,4311437.6559999995,4379267.101,4516899.404,4686305.628,4775154.153,4951390.671,5125389.26,5403131.036,5575888.5879999995,5701141.049,5974983.34,6295558.603999999,6587050.952000001,6877644.0370000005,7152121.346,7399006.061999999,7713284.778,7942508.0150000015,8189481.626999999,8492427.174999999,8577742.053,8756393.719999999,8901342.51,9162264.216,9625406.106,9944500.432,10544029.423,11140932.121,11644623.509,12059655.904,12465594.604999999,12671270.839999998
LKR Deposits,1377786.602,1405666.8590000002,1453046.651,1499263.143,1555273.395,1635294.9049999998,1728870.3379999998,1806151.839,1852017.157,1908965.814,2002099.223,2120065.185,2208461.619,2325310.355,2442088.1270000003,2576737.4560000002,2681880.3989999997,2765571.5880000005,2858329.383,3009995.875,3144992.474,3259537.0210000006,3362827.117,3489550.327,3618779.9529999997,3661440.0880000005,3798079.1100000003,3914395.505,3981157.075,4119786.710999999,4254727.552,4471075.653,4626670.74,4738259.636,4983483.452,5254084.952,5529680.937000001,5793827.6959999995,6033078.472,6230628.9059999995,6543092.3780000005,6732077.789,6881117.752,7057748.096999999,7142926.684000001,7317719.816,7409951.799000001,7652089.947000001,8025609.645,8344162.255,8838792.427000001,9299196.641999999,9667279.802000001,9952895.104,10283991.514,10537024.779
Time Deposits,715036.229,733627.512,785500.726,831684.352,878917.6649999999,942010.65,998522.257,997854.612,979019.208,1006131.952,1061204.628,1109055.329,1163280.868,1230172.075,1303634.726,1425499.525,1551167.392,1648986.7,1728512.291,1842774.744,1983730.738,2082267.107,2139285.393,2200002.437,2273429.59,2234341.559,2279847.764,2237176.154,2249707.815,2327638.79,2363336.853,2499246.042,2623598.188,2745295.417,2967398.618,3178100.059,3418267.683,3672867.298,3879961.734,3973079.297,4193887.657,4354383.724,4559080.746,4669915.412,4744241.759,4912615.873,4942300.648,5107097.401,5264137.612,5462297.795,5655327.788,5822176.763,5982865.344,6058902.459,6197924.194,6304882.955
Savings Deposits,460354.49299999996,466647.433,478188.858,474388.795,488707.469,505682.567,529876.956,582765.238,627420.526,654893.15,689988.206,726719.387,765978.686,805709.871,837728.946,837130.189,838333.019,829233.537,835811.434,839228.874,853854.417,879995.057,907598.357,949682.459,1000090.748,1058700.684,1130753.639,1252196.806,1304307.373,1370152.604,1451397.804,1489160.065,1534058.178,1539005.461,1551674.427,1588384.576,1620972.843,1643223.979,1683865.326,1730080.502,1800163.007,1855261.389,1804366.579,1830061.345,1872971.571,1892397.44,1946982.949,2000310.603,2178335.304,2283977.425,2527878.93,2747031.546,2945322.25,3127718.409,3256712.512,3269199.785
Current Deposits,150240.311,156042.326,140774.214,140725.164,133855.244,133644.509,143059.338,172186.915,173412.901,171792.985,188281.958,218629.201,209623.389,221796.187,228348.068,229233.292,214283.417,210810.292,213337.744,219600.346,222836.089,217890.984,228681.739,241544.715,249119.025,262679.258,273794.528,308549.764,305460.111,302431.914,317545.085,360888.924,348172.598,333406.254,338397.462,367654.511,360465.91,349118.276,342581.399,388927.781,402217.176,370892.741,356605.645,387053.364,369517.948,365251.003,368100.507,390136.002,412691.551,421061.881,459547.302,525041.173,514845.475,530139.606,560280.61,691581.647
Other Deposits,52155.5689999999,49349.58799999999,48582.85300000012,52464.83200000017,53793.017000000225,53957.17899999977,57411.78699999978,53345.07399999979,72164.52199999988,76147.72700000019,62624.430999999866,65661.26800000016,69578.67599999998,67632.22200000007,72376.3870000001,84874.45000000065,78096.571,76541.05900000082,80667.91399999987,108391.91100000031,84571.22999999998,79383.8730000006,87261.62800000003,98320.71600000048,96140.58999999985,105718.58700000076,113683.17900000047,116472.78099999996,121681.77600000007,119563.402999999,122447.81000000006,121780.62200000044,120841.7759999996,120552.50400000066,126012.94499999937,119945.80599999987,129974.50100000016,128618.14300000016,126670.01299999934,138541.32599999942,146824.53800000064,151539.9349999996,161064.78199999966,170717.9759999998,156195.40600000136,147455.5,152567.6950000003,154545.94100000057,170445.1780000003,176825.1540000001,196038.40700000152,204947.1599999983,224246.73300000094,236134.62999999896,269074.1980000008,271360.39199999906
FCY Deposits,368694.228,400443.54699999996,385673.107,378968.104,396347.148,411811.625,433775.10900000005,425423.40199999994,417940.19700000004,417430.048,430312.13999999996,465966.39100000006,459796.477,460122.493,464573.94299999997,495806.409,563024.7960000001,595157.8049999999,608054.9369999999,615378.089,624138.455,623237.356,665578.143,679969.793,692657.703,717827.013,718820.2939999999,771910.1229999999,793997.078,831603.96,870661.708,932055.383,949217.8479999999,962881.413,991499.888,1041473.652,1057370.0150000001,1083816.341,1119042.874,1168377.156,1170192.4000000001,1210430.226,1308363.875,1434679.078,1434815.369,1438673.9039999999,1491390.7109999997,1510174.269,1599796.461,1600338.1770000001,1705236.9960000003,1841735.479,1977343.7070000002,2106760.8,2181603.091,2134246.061
Time Deposits,208040.631,229545.178,220185.158,225335.967,235164.792,257852.103,263796.739,251893.651,247097.159,255422.688,263600.529,265301.259,261128.86,242894.798,265663.489,287624.84,343198.375,362237.847,362003.373,378461.024,388949.204,382119.928,419053.842,437789.512,435062.793,439190.896,454392.832,466857.369,504538.454,524635.087,548936.853,580271.171,601483.507,603336.954,619684.661,634348.592,655837.672,682472.336,721775.732,731230.737,731117.553,774803.87,822261.79,895010.297,920812.651,928825.355,972205.751,985446.703,1026666.391,1021743.162,1130212.421,1199954.944,1317206.277,1410962.214,1411038.746,1371382.564
Savings Deposits,118605.134,124229.01,125411.762,110709.907,112196.77,116557.316,120638.469,126404.26,107746.822,116880.169,119113.214,136405.165,128246.011,142647.888,136825.549,142533.562,148054.177,159097.053,162809.7,167173.653,159079.751,175913.276,172439.03,168090.176,185789.06,198157.14,182011.532,209413.942,204788.05,213393.446,223246.908,240434.685,238132.829,248806.747,249650.037,269722.423,265280.761,260026.878,272439.013,302257.939,299924.079,287672.106,314226.784,340724.709,335461.164,331541.221,332443.049,343816.995,365061.575,356985.985,372987.953,406201.206,428783.028,434802.202,467823.068,473507.654
Current Deposits,29684.515,25932.195,23783.211,25439.035,37261.143,22535.806,26921.127,27270.683,32675.127,29822.637,31160.677,48808.521,53280.93,55713.252,47563.243,51067.154,56106.735,56244.79,62823.64,50231.89,55162.587,47284.955,55726.15,55003.432,53828.472,57499.61,57840.639,72420.425,62321.02,69825.608,73243.691,85558.912,83985.708,83366.326,95285.63,111547.327,108955.983,110757.962,96162.46,107082.646,102405.531,109443.115,134031.339,156912.702,139234.104,132152.719,146900.644,138615.699,154170.131,145307.331,145255.877,168654.921,168874.168,180369.851,204389.24,197584.696
Other Deposits,12363.947999999975,20737.16399999993,16292.976000000024,17483.195000000007,11724.443000000028,14866.400000000023,22418.774000000092,19854.807999999903,30421.089000000036,15304.554000000062,16437.719999999914,15451.446000000054,17140.676000000036,18866.55500000005,14521.661999999953,14580.853000000003,15665.509000000078,17578.114999999874,20418.223999999813,19511.522000000114,20946.912999999826,17919.197000000044,18359.121000000043,19086.67299999995,17977.378000000026,22979.36699999997,24575.290999999852,23218.38699999987,22349.554000000004,23749.8189999999,25234.256000000052,25790.615000000107,25615.803999999887,27371.38599999994,26879.560000000056,25855.310000000056,27295.599000000162,30559.165000000037,28665.669000000227,27805.83400000003,36745.2370000002,38511.13500000001,37843.96200000006,42031.36999999988,39307.44999999995,46154.60899999994,39841.26699999953,42294.87200000021,53898.36399999983,76301.69900000026,56780.74500000011,66924.40800000005,62480.23400000017,80626.53299999982,98352.03700000001,91771.14700000035
Borrowings,481394.60000000003,498813.00500000006,499543.19499999995,458122.993,461518.39700000006,416487.311,391772.205,389342.799,400498.984,422983.144,480441.68700000003,506912.94200000004,538198.06,584371.1290000001,576541.608,635488.923,737300.829,833235.392,798097.6799999999,804317.524,892183.8049999999,912746.551,1010524.637,1015390.7910000001,997212.5189999999,1079282.681,1243687.465,1448208.636,1532764.479,1510941.8649999998,1670712.497,1758389.2630000003,1830273.776,1771238.365,1719002.9560000002,1696413.804,1803600.5909999998,1734380.8140000002,1646362.46,1607061.79,1616490.1439999999,1533283.935,1645559.1420000002,1763384.1940000001,1596059.629,1557441.3809999998,1620512.2060000002,1679395.137,1822984.7399999998,1689594.668,1707880.2659999998,1692221.344,1772377.312,1839722.3750000002,2020659.15,2181195.933
LKR Borrowings,284535.078,280658.555,293291.96,306728.34,310488.92,281713.679,259425.94500000004,267581.327,278874.885,307224.696,340968.747,354604.37399999995,367375.42299999995,378604.63,377773.31100000005,367316.81700000004,379486.335,391531.995,367377.504,363426.389,375037.9480000001,381450.56,346001.72800000006,359562.19299999997,389118.23,426054.45300000004,508015.00100000005,582730.122,612747.858,606661.608,704147.6059999999,679968.649,737429.418,700628.5830000001,685889.1370000001,665759.7919999999,709396.33,641812.6229999999,596225.753,599825.708,642716.723,642365.8999999999,714209.296,742146.8169999999,709976.1799999999,636088.483,684420.2890000001,695140.0100000001,655668.8520000001,642791.1240000001,711370.226,794523.183,890895.204,945957.352,1251644.3749999998,1482485.4170000001
FCY Borrowings,196859.522,218154.45,206251.235,151394.653,151029.47699999998,134773.63199999998,132346.26,121761.47200000001,121624.099,115758.448,139472.94,152308.568,170822.63700000002,205766.499,198768.29700000002,268172.10599999997,357814.494,441703.39700000006,430720.17600000004,440891.13499999995,517145.857,531295.991,664522.909,655828.598,608094.289,653228.2279999999,735672.4639999999,865478.5140000001,920016.621,904280.257,966564.891,1078420.614,1092844.358,1070609.7820000001,1033113.8189999999,1030654.012,1094204.2609999997,1092568.191,1050136.707,1007236.082,973773.421,890918.0349999999,931349.8459999998,1021237.377,886083.4489999999,921352.898,936091.9169999999,984255.1269999999,1167315.888,1046803.5439999999,996510.0400000002,897698.1610000001,881482.108,893765.0229999998,769014.775,698710.516
Other Liabilities,137686.53299999982,136192.43699999945,147690.4450000003,142316.31299999962,137112.14600000018,147325.4703408596,146501.3814251502,149162.1903212997,162413.45558292465,160050.4879999999,170358.07399999956,162938.84999999963,178329.29899999918,176998.31799999997,184417.9419999998,173352.12299999967,212953.21499999985,222922.17099999916,230635.0889999997,232617.40199999977,256660.07400000095,264161.9179999996,279841.3389999997,266951.15499999933,271612.69900000095,277396.5290000001,262156.159,268807.29200000037,277224.4500000002,282386.54899999965,283933.7700000014,279227.04599999916,296815.84699999914,309718.1440000003,326552.9020000007,347326.2740000002,371517.74999999814,375145.527999999,413779.33100000024,419625.3060000017,445918.4210000001,437042.04799999855,467426.4110000003,507826.16000000015,525843.6699999999,512841.0720000025,528475.5359999985,551150.0160000008,564283.8639999982,550761.6339999996,560003.8080000002,578946.3929999992,611798.9520000014,602558.8560000025,599570.1920000017,606663.5820000004
Equity Capital & Reserves,208116.04999999996,211889.51399999997,217059.62,218779.14800000002,225403.857,232798.304,240283.376,243176.18,248898.54900000003,270476.98300000007,278462.332,294632.07399999996,302915.84500000003,318187.56799999997,347165.212,370848.7749999999,391016.421,403059.405,421097.559,435910.45000000007,452099.6400000001,462360.64700000006,476559.79799999995,489610.643,506240.74299999996,521051.033,554513.067,568510.851,584868.544,602656.912,626345.3779999999,636726.7660000001,651296.275,669457.76,682608.1669999999,707284.764,730452.307,778223.311,829000.4539999999,866704.2300000001,899478.079,934609.595,970655.9980000001,1030354.162,1041970.296,1074835.168,1104352.8,1129897.8839999998,1153571.539,1183630.414,1216051.8070000003,1254163.8080000002,1300898.5469999998,1355345.779,1408196.318,1464433.402


Licensed Commercial Banks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Liabilities, Rs. Mn",2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021*,,,
,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4
Total Liabilities including Equity,2159957.508,2230945.36,2269424.1040000003,2259914.151,2321764.378,2374719.0733408597,2450638.35542515,2506584.7653213,2558992.437582925,2639005.334,2808462.811,2974559.452,3094940.057,3255609.569,3387629.932,3578497.037,3910810.022,4124546.455,4207386.703,4355687.76,4599039.923,4734519.587,4901853.429,5022147.427,5143121.26,5292556.928,5554538.268,5884360.682,6066113.173,6202390.444,6533824.911,6974300.1,7233749.03,7311553.608,7536495.172,7843338.327,8268278.134,8486466.648,8711739.494,8926191.513,9268623.143,9402636.933,9893396.837,10372406.844,10288579.916,10418657.193,10649345.007,10944007.243,11537556.592,11689231.099,12278185.31,12828818.733,13396572.896,13874766.818,14434073.058,14820544.864
Deposits,1458536.245,1509973.1770000001,1532646.356,1560246.6050000004,1620163.807,1704675.636,1797256.086,1850591.271,1877593.8309999998,1923913.9530000002,2018618.8980000003,2153425.396,2219205.4790000003,2323055.118,2425688.4080000003,2558730.5330000003,2729552.6850000005,2837824.264,2927183.495,3061296.7129999995,3187317.76,3286033.7760000005,3420281.667,3552439.4880000004,3662854.081,3717580.531,3828748.876,3976635.0629999996,4051705.7989999996,4202517.575,4356408.39,4638975.998000001,4788267.4969999995,4900399.96,5152735.201,5449413.096999999,5730812.274000001,5965349.955000001,6208791.437,6424432.363999999,6709976.336,6909510.044000002,7150006.125999999,7407814.990999999,7467499.085,7594973.379999999,7695350.862,7884734.964,8294875.785,8546808.989,9065297.838000001,9587311.591999998,10016852.349,10376386.009,10742153.215999998,10908638.125999998
LKR Deposits,1091456.108,1111316.3420000002,1148810.402,1183418.1369999999,1226412.856,1295919.001,1366814.2629999998,1428747.582,1463445.345,1510401.659,1592567.085,1691763.988,1764158.599,1867678.347,1965799.6300000004,2067829.6630000002,2172060.622,2248342.5220000003,2325604.352,2452941.745,2572636.749,2671761.2030000007,2763854.2800000003,2881846.528,2976241.081,3005912.842,3116027.606,3211024.698,3263952.24,3377654.1539999996,3492808.2279999997,3714223.12,3847076.634,3945938.98,4169440.706,4416332.147,4682329.930000001,4890677.955,5098874.052,5265323.393999999,5549133.699,5708617.896,5851639.386,5984013.711999999,6043517.113000002,6167381.187,6215726.9120000005,6386426.963,6707523.487,6959263.01,7374711.831,7760974.393999999,8055809.133,8286175.469,8575738.974,8789806.806
Time Deposits,516459.526,533929.627,568447.943,604849.085,640027.89,694813.223,731728.968,718719.619,712340.167,734817.444,764840.662,798879.167,841918.293,898262.914,957696.867,1049307.839,1176040.611,1265189.586,1330880.755,1421257.602,1548521.916,1633993.032,1683638.721,1740034.51,1784950.121,1739476.508,1766396.674,1717377.089,1722989.257,1784307.406,1811438.26,1955484.15,2065594.774,2178442.677,2382081.896,2572010.029,2809673.544,3012742.356,3194025.591,3260935.212,3459965.512,3594105.116,3795969.626,3863625.348,3918701.001,4041976.368,4034166.394,4137434.856,4253748.426,4406668.588,4543703.889,4657454.425,4763233.297,4798829.793,4912475.429,4985168.844
Savings Deposits,373711.026,380962.384,392112.456,387842.662,401317.774,416059.039,437310.42,486109.838,524214.232,548024.422,578161.499,610920.876,645366.124,682341.301,711881.015,709036.976,708128.84,700300,705506.231,708920.216,721986.512,745796.818,769698.777,808175.186,852560.955,904566.823,968675.656,1074986.349,1120078.676,1177703.895,1248187.887,1280654.377,1317747.296,1319139.111,1329566.912,1360892.588,1386664.492,1404737.205,1438832.067,1479777.991,1543101.775,1602122.601,1548839.813,1572140.071,1608999.583,1623070.746,1672019.592,1715162.621,1881991.255,1967591.132,2189203.289,2386801.159,2567106.786,2734907.687,2848501.441,2855673.932
Current Deposits,150240.311,148239.71,140774.214,140725.164,133855.244,133644.509,143059.338,172186.915,173412.901,171792.985,188281.958,218629.201,209623.389,221796.187,228348.068,229233.292,214283.417,210810.292,213337.744,219600.346,222836.089,217890.984,228681.739,241544.715,249119.025,262679.258,273794.528,308549.764,305460.111,302431.914,317545.085,360888.924,348172.598,333406.254,338397.462,367654.511,360465.91,349118.276,342581.399,388927.781,402217.176,370892.741,356605.645,387053.364,369517.948,365251.003,368100.507,390136.002,412691.551,421061.881,459547.302,525041.173,514845.475,530139.606,560280.61,691581.647
