<new sheet>
sheet_name: LCBs
Bank and Branch Network of Licensed Commercial Banks by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

District,,No. of Banks,,,,,,,,,,,,,,,,,,,,Branches (a),,,,,,,,,,,,,,,,,,,,Other Banking Outlets,,,,,,,,,,,,,,,,,,,,Total Branch & Banking Outlets,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2024,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*
21,POLONNARUWA,8,8.0,8.0,9.0,10.0,11.0,11.0,11.0,11.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,33,35.0,40.0,45.0,49.0,50.0,50.0,50.0,52.0,53.0,53.0,54.0,55.0,55.0,55,55,55,55,55,55,90,90.0,90.0,90.0,90.0,90.0,90.0,90.0,67.0,70.0,122.0,132.0,133.0,131.0,131,131,133,133,133,137,123,125.0,130.0,135.0,139.0,140.0,140.0,140.0,119.0,123.0,175.0,186.0,188.0,186.0,186,186,188,188,188,192
22,PUTTALAM,10,11.0,11.0,12.0,12.0,13.0,13.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,62,66.0,75.0,84.0,91.0,93.0,93.0,95.0,97.0,98.0,100.0,102.0,102.0,102.0,102,102,102,102,103,103,83,83.0,83.0,83.0,83.0,83.0,83.0,83.0,76.0,78.0,104.0,108.0,108.0,108.0,108,108,108,108,108,108,145,149.0,158.0,167.0,174.0,176.0,176.0,178.0,173.0,176.0,204.0,210.0,210.0,210.0,210,210,210,210,211,211
23,RATNAPURA,10,10.0,10.0,11.0,11.0,12.0,12.0,13.0,13.0,12.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,77,79.0,90.0,96.0,100.0,106.0,107.0,110.0,111.0,112.0,113.0,114.0,114.0,114.0,114,114,114,114,114,114,147,147.0,147.0,148.0,148.0,148.0,148.0,148.0,115.0,115.0,141.0,197.0,197.0,195.0,195,195,197,197,197,197,224,226.0,237.0,244.0,248.0,254.0,255.0,258.0,226.0,227.0,254.0,311.0,311.0,309.0,309,309,311,311,311,311
24,TRINCOMALEE,6,7.0,8.0,8.0,9.0,10.0,10.0,12.0,12.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,25,32.0,35.0,48.0,52.0,53.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54.0,54,54,54,54,54,55,57,57.0,57.0,57.0,57.0,60.0,60.0,60.0,94.0,97.0,94.0,111.0,111.0,108.0,108,108,111,111,111,111,82,89.0,92.0,105.0,109.0,113.0,114.0,114.0,148.0,151.0,148.0,165.0,165.0,162.0,162,162,165,165,165,166
25,VAVUNIYA,6,7.0,9.0,10.0,10.0,10.0,10.0,10.0,11.0,12.0,12.0,12.0,12.0,12.0,12,12,12,12,12,12,7,12.0,15.0,21.0,23.0,24.0,24.0,25.0,25.0,25.0,25.0,25.0,25.0,25.0,25,25,25,25,25,25,26,26.0,26.0,26.0,26.0,26.0,26.0,26.0,22.0,29.0,55.0,71.0,71.0,71.0,71,71,71,71,71,71,33,38.0,41.0,47.0,49.0,50.0,50.0,51.0,47.0,54.0,80.0,96.0,96.0,96.0,96,96,96,96,96,96
Total,,,,,,,,,,,,,,,,,,,,,,1815,1950.0,2137.0,2404.0,2551.0,2666.0,2737.0,2791.0,2843.0,2857.0,2878.0,2908.0,2916.0,2917.0,2918,2919,2921,2925,2926,2930,2684,2788.0,2787.0,2791.0,2856.0,2864.0,2871.0,2870.0,2556.0,2639.0,3309.0,3783.0,3787.0,3695.0,3695,3691,3789,3794,3850,3882,4499,4738.0,4924.0,5195.0,5407.0,5530.0,5608.0,5661.0,5399.0,5496.0,6187.0,6691.0,6703.0,6612.0,6613,6610,6710,6719,6776,6812

,(a) Banking Outlets except Student Savings Units and Mobile Banking Units,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,* Provisional Data,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

<new sheet>
sheet_name: LSB
Bank and Branch Network of Licensed Specialised Banks by District,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

District,,No. of Banks,,,,,,,,,,,,,,,,,,,,Branches (a),,,,,,,,,,,,,,,,,,,,Other Banking Outlets ,,,,,,,,,,,,,,,,,,,,Total Banking Outlets,,,,,,,,,,,,,,,,,,,
,,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*,2008,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,Q1 2022,Q2 2022,Q3 2022,Q4 2022,Q1 2023,Q2 2023*
1,AMPARA,4,5.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,17,17.0,22.0,25.0,25.0,26.0,26.0,27.0,28.0,28.0,28.0,28.0,28.0,28.0,28,28,28,28,28,28,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,32,33.0,36.0,37.0,37.0,37.0,37.0,39.0,28.0,28.0,28.0,28.0,28.0,28.0,28,28,28,28,28,28
2,ANURADHAPURA,5,6.0,6.0,6.0,6.0,7.0,8.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,22,24.0,28.0,32.0,32.0,35.0,35.0,37.0,37.0,37.0,37.0,37.0,37.0,37.0,37,37,37,37,37,37,12,12.0,12.0,12.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,36,38.0,44.0,45.0,45.0,47.0,48.0,49.0,37.0,37.0,37.0,37.0,37.0,37.0,37,37,37,37,37,37
3,BADULLA,4,5.0,5.0,5.0,5.0,5.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,20,22.0,22.0,24.0,24.0,25.0,25.0,25.0,25.0,26.0,26.0,26.0,26.0,26.0,26,26,26,26,26,26,9,9.0,9.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,32,34.0,34.0,35.0,35.0,35.0,36.0,34.0,25.0,26.0,26.0,26.0,26.0,26.0,26,26,26,26,26,26
4,BATTICOLOA,3,5.0,6.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5,5,5,5,5,5,6,7.0,12.0,16.0,18.0,20.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20,20,20,20,20,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,5,7.0,12.0,17.0,19.0,19.0,19.0,20.0,20.0,20.0,20.0,20.0,20.0,20.0,20,20,20,20,20,20
5,COLOMBO,9,9.0,9.0,9.0,9.0,9.0,9.0,7.0,7.0,7.0,7.0,6.0,6.0,6.0,6,6,6,6,6,6,50,57.0,61.0,63.0,64.0,65.0,61.0,64.0,65.0,67.0,68.0,68.0,68.0,68.0,68,68,68,68,68,68,19,19.0,19.0,19.0,19.0,19.0,19.0,19.0,6.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,84,89.0,92.0,97.0,97.0,97.0,97.0,83.0,71.0,73.0,68.0,68.0,68.0,68.0,68,68,68,68,68,68
6,GALLE,6,6.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,31,33.0,38.0,39.0,39.0,39.0,39.0,40.0,41.0,41.0,41.0,41.0,42.0,43.0,43,43,43,43,43,43,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,40,43.0,48.0,48.0,48.0,48.0,49.0,47.0,41.0,41.0,41.0,41.0,42.0,43.0,43,43,43,43,43,43
7,GAMPAHA,6,6.0,7.0,7.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,34,36.0,39.0,42.0,44.0,45.0,45.0,49.0,50.0,50.0,50.0,51.0,52.0,52.0,52,52,52,52,52,52,27,27.0,27.0,27.0,27.0,27.0,27.0,27.0,5.0,5.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,66,68.0,71.0,71.0,71.0,72.0,73.0,76.0,55.0,55.0,50.0,51.0,52.0,52.0,52,52,52,52,52,52
8,HAMBANTOTA,6,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,6.0,5.0,5.0,5.0,5,5,5,5,5,5,22,26.0,29.0,31.0,32.0,33.0,32.0,32.0,32.0,34.0,34.0,34.0,35.0,35.0,35,35,35,35,35,35,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,28,33.0,35.0,35.0,36.0,36.0,36.0,39.0,32.0,34.0,34.0,34.0,35.0,35.0,35,35,35,35,35,35
9,JAFFNA,1,1.0,4.0,4.0,6.0,6.0,6.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,7,9.0,14.0,14.0,17.0,17.0,17.0,18.0,21.0,21.0,21.0,21.0,21.0,21.0,21,21,21,21,21,21,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,14,16.0,22.0,22.0,25.0,25.0,25.0,18.0,23.0,23.0,21.0,21.0,21.0,21.0,21,21,21,21,21,21
10,KALUTARA,6,6.0,6.0,6.0,7.0,7.0,7.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5,5,5,5,5,5,31,34.0,35.0,37.0,37.0,38.0,38.0,38.0,38.0,38.0,39.0,39.0,39.0,39.0,39,39,39,39,39,39,7,7.0,7.0,7.0,7.0,7.0,7.0,7.0,6.0,6.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,39,41.0,42.0,42.0,42.0,42.0,42.0,45.0,44.0,44.0,39.0,39.0,39.0,39.0,39,39,39,39,39,39
